stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pgc,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.41,0,0,4.37,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0.95,0,0,0,0,0,0,0,0,0,0
 24-34,0.8,0.94,0,3.59,0,0,1.55,0,0,0,0,0.68,0,1.58,22.18,0,0,0,0,0,7.29,0,1.6,0,3.29
 36-46,0,0,2.92,3.57,0,0,0.93,1.77,0,0,0,3.8,0,3.44,26.29,0,0,0,0,0,13.07,0,1.77,0,0
 48-58,0,0.41,0,4.3,0,0,3.45,0,0,0,0.78,4.45,0,0.83,40.38,1.07,0,0,0,0.77,9.46,0,0,0,0
 60-70,0,0,0,1.38,0,0,0,0.79,0,0,0,8.01,0,0,25.99,0,0,0,0,0,3.36,0,0,0,0
 72-82,0,2.44,1.96,15.28,0,0,15.85,1.8,0,0,0,37.6,0.72,0.73,127.68,0,0.61,0,0,0,22.09,0,8.47,1.42,0
 84-94,0,0,0,0.71,0,0,3.43,0,0,0,0,5.13,0,3.46,55.35,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.74,0,0,6.28,0,2.99,2.39,0,17.32,0,0.63,54.81,0,0.59,0,3.82,0,10.38,0.87,0.97,1.59,0
108-118,0,0,0,0,0.43,4.46,6.17,0,0.44,0,0,16.84,1.98,0,76.31,1.47,0,0,0,0,3.03,0,0.45,0,0
120,0,0,0,4.83,2.39,11.09,17.48,0,0,0,0,27.74,0,0,96.8,0,0,0,0,0,0,0,19.66,0,0
