stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle
  3-4,10.46,80.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,165.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,11.29,0,0,0,25.88,0,0,0,0,3.22,0,0,0,0,0,0,79.78,0,0,35.46,0,0,0,0,0,0,0,0
 10-12,0,0,8.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.17,0,0,38.99,0,0,0,0,0,0,0,0
 14-21,0,0,0.86,8.32,0.99,6.27,0,0,0,0,0,0,0,0.92,0,3.42,1.02,19.12,0.98,3.66,0.83,0,5.61,13.92,1.11,0.88,18.4,12.89,0
 24-34,0,0,0,1.31,0,6.55,0,0,0,0,0,0,0,0.63,0,1.76,0.62,12.55,0,0,0,0,1.94,0,0,0,0,0.68,0
 36-46,0,0,0,1.82,2.92,2.19,0,0,0,0,0,0,0,0,0,1.58,0.64,13.59,0,0.58,0,0,3.86,0,0,0,0,1.67,0
 48-58,0,0,0,0,0,1.25,0,0,0.46,0,0,0,0,0,0,0,0,9.42,0,0,0,0.59,1.53,0,0,0,0,0,0
 60-70,0,0,0,2.17,0,0.84,0,0,1.26,0,0,0,0,0,0,0,0,6.03,0,0,0,0,7.18,0,0,0,0,0.59,1.5
 72-82,0,0,0,0.52,0,1.97,0,0,0,1.39,0,0,0,0,3.1,7.02,0,2.06,0,1.38,0,0,0.65,0,0,0,0,0,0
 84-94,0,0,0,0.75,0,1.91,0.98,0.75,0,0,2.94,0,0,0,0,3.38,0.83,2.43,0,0,0,0,1.01,0,0,0,0,0,0
 96-106,0,0,0,1.98,0,0,0,0,1.36,0.89,0,0,1.05,0,0,0,0,10.18,1.63,0,0,0,1.47,0,0,0,0,0,0
108-118,0,0,0,3.14,0,0.87,0,0,0,0.67,0,0.44,0,0.74,0,0.46,0,3.29,0,0.43,0,0,1.09,0,0,0,0,0,0
120,0,0,0,1.14,0,5.18,0,0,2.33,0,0,0,0,0,0,0,5.3,3.47,0,2.74,0,0,0,0,0,0,0,0,0
