stage,eye,glial,immune,iridophores,lateral_line,melanocytes,mesenchyme,neural,periderm,pgc,pronephros,spinal_cord,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0
 24-34,8.57,0,0,0,0,0,0,0,0,0,0,0.87,0,0
 36-46,23.34,0,0,0,0,0,0.75,0,0,0,0,0,0,0
 48-58,11.93,0,0,0,0,1.93,1.45,1.24,0,0,0,0,0,3.3
 60-70,40.67,0.92,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,42.48,2.4,0,0.97,0,1.89,1.24,0.68,1.77,0,0.73,0,0,1.08
 84-94,134.61,3.16,0,0,0,2.48,0,0,0,0,0,0,0,0
 96-106,123.4,11.92,0.6,1,0.63,1.25,0,3.11,2.28,0,0,0,5.13,2.21
108-118,158.77,6.1,3.59,3,0,4.98,0,1.7,0,0,0,0,0,0
120,74.28,0,0,0,0,0,5.95,18.56,0,0,0,0,0,0
