stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord
  3-4,29.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,179.89,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,8.81,0,0,0,0
  7-9,0,0,0,15.72,0,0,0,3.56,0,0,179.05,4.26,0,0,75.18,0,0,0,0,0
 10-12,6.18,22.61,0,13.09,0,0,0,13.31,0,0,158.25,0,0,0,44.91,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.5,0,0.8,0,3.49,0,0,0,0,1.51,1.52,0,0,1.69
 24-34,0,0,0,0.83,0,0,0,0,1.34,0,2.04,0.77,1.71,0.64,0,0,0,0.7,0,0
 36-46,0,0,0,0,0,1.49,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0
 48-58,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,1.43,0,0,0,0,0,0.83,0,1.04,0,0,0,0,0,0,0,1.71,0
 72-82,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0
 84-94,0,0,1.89,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52,0,0,0,0
108-118,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.31,0,0,0,0,0,8.05,0,0,0,0
