stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,10.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.66,61.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.5,0,0,0,0,0,0,0,0,0,0,6.32,0,0,0,0,0,0,0,0,19.74,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,4.13,15.87,0,0,0,0,0,2.6,0.73,0,0,92.27
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,12.38,15.73,0,0,0,0,0.6,0,5.99,0,0,270.85
 48-58,0,0,0,0,0,4.56,0,0,0,0,0,0,0,0,5.04,0,0,2.05,0,69.47,12.38,0,0,0,0,0,0,0.84,0,0.44,236.06
 60-70,0,0,0,0,0,0.95,0,0,29.55,0,0,0,0,0,0,0,3.04,11.71,0,25.67,10.47,0,0,0,0,0,0,0,0,0,195.85
 72-82,0,0,0,0,0,8.13,0,0,53.04,1.53,0,0,0,0,0,0,19.83,18.01,0,10.84,25.21,0,0.66,0,0,0,0,3.39,0,4.21,195.91
 84-94,0,0,0,0,0,4.5,0,0,26.07,0.89,0,0,0,0,1.81,0,25.6,10.86,0,3.39,7.6,0,0,0,0,0,0,0,3,0.57,141.41
 96-106,0,0,1.39,2.07,0,26.48,0,35.01,273.79,6.75,0,0,0.78,0,0,0.71,150.27,162.24,1.7,20.9,76.26,1.39,0,0,2.45,0,0,0,0,3.49,204.16
108-118,0,0,1.61,1.44,0.43,43.03,0.75,8.36,402.27,22.11,0,0,2.61,0,7.6,0,671.74,387.22,3.67,10.06,79.26,0,0,1.73,4.23,0.66,0,2.99,0,1.13,446.25
120,0,0,0,4.03,0,42.93,3.87,21.19,811.24,20.27,2.12,0,0,3.6,0,0,795.68,692.69,0,15.32,107,0,2.08,0,2.03,0,0,1.75,6.92,7.83,158.72
