stage,axial,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.12,0,0,0,0,4.17,0,0,0,0,0,2.09,0,0.97,60.8,0,0,0,0,0,4.68,0.97,0.88,3.92,6.25,0,0,0,0,0
 24-34,0,0,14.34,0,0,0.92,0,1.98,0,0,0,0,0,8.44,0,3.93,2349.27,0,0,0,0,3.31,0,4.11,0,1.64,9.51,0,0,6.05,0,0
 36-46,0,0,10.39,0,23.85,0,0,3.84,0,0,0,0,5.39,49.71,0.96,1.2,2764.48,0.56,3.1,0,0,3.67,0,1.16,0,0,17,0,0,2.84,0,0
 48-58,0,0,26.32,0.43,39.12,0.39,1.96,12.81,8.3,5.4,0.48,0,0,124.47,0,0,1952.13,1.33,0.47,0,0,2.81,0,0,0,0,27.4,0,0,1.4,0,2.21
 60-70,0,0,14.25,0,35.45,2.24,1.91,11.3,0,0,0,0,0,373.7,0,1,404.38,0,1.98,0,0,4.09,0,0,0,0,7.77,0,0.9,0.73,0,0
 72-82,0,0,8.92,0,62.86,0,1.32,6.93,0,0,0,0,0,421.54,2.07,0.84,325.92,0,0,2.13,0,0.51,0,0,0,0,16.5,0,0,5.17,1.51,6.91
 84-94,0,0,3.22,0,37.57,0,0,9.12,0,9.96,0,1.69,0,362.39,0.76,5.65,153.79,0,1.59,0,0,0,0,0,0,0,0,0,1.8,2.97,0,0
 96-106,3.37,0,13.63,0,17.59,0,0,9.14,0.75,0,0,0,0,291.45,0,1.2,156.53,0,1.84,0,0,0,0,0,0,0,0,0,3.81,2.41,0,1.19
108-118,0,1.57,4.12,7.28,10.04,0,8.19,3.37,0,0,0,0,0,451.01,0,1.41,276.63,0,2.61,1.58,0,0,0,0.62,0,0,0,0.67,0,0,0,0
120,0,0,0,0,5.99,0,2.48,0,0,0,0,0,0,218.77,0,0,829.19,0,10.22,0,0,0,0,0,0,0,0,0,8,0,0,0
