stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,16.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.99,0,0,0,0,0,0,0,0
  5-6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.56,0,0,0,0,0,0,0,0,0,0,0,0,0,5.31,4.25,4.75,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.99,0,16.59,0,6.03,12.76,0,0,0,0,0,0
 14-21,0,0,0,94.3,0,0,0,0,6.39,13.18,0,0,0,0,0,4.02,0,0.84,0,0,0,0,5.91,0,0,45.66,0
 24-34,0,0,0.94,12.22,0,0,0,0,1.36,34.15,0,0,0,0.68,0,15.21,0.64,0,0,0,0,0.64,27.37,0,0,172.63,5.35
 36-46,0,0,0,0,2.82,0,0,0,2.07,51.59,0,0,0,0,0,23.48,0,0,0,0,0,0,48.17,0,0,33.42,0
 48-58,0,0,1.38,0.44,3.57,0,3.08,0,5.01,45.51,0,0,0,1.11,0,36.57,0,0,0.38,0,0,0,31.55,0,0,27.3,0
 60-70,0,0,0,0.67,6.53,0,0,0,2.15,41.91,0.71,0,0,1.47,0,19.46,0,0,0,0,0,0,20.65,0,0,54.37,0
 72-82,0,0,4.23,8.81,14.42,0.85,0,0,9.74,70.95,0,0,0,2.3,0.5,11.03,0,0,0,0,0,0,27.4,0,0.91,85.03,0
 84-94,0,0,0,6.8,10.13,0,0.68,0.9,6.68,128.53,0,0,0,1.44,0,19.35,0,0,1.1,0,0,0,14.6,0.55,0.77,103.17,0
 96-106,0,0,0.91,26.24,2.04,0,0,2.3,11.48,109.09,0,0.79,1.73,7.47,0,15.65,0,0,0,0,0,0,14.55,0,0,121.64,0
108-118,0,0.74,0.55,30.88,11.92,0,4.72,0,2.65,124.25,0,0,0,8.76,0,15.44,0,0,0.54,0,0,0,2.53,0,0,140.67,0
120,0,0,4.6,72.7,3.28,0,0,0,8.59,128.06,0,0,0,4.71,0,30.14,0,0,1.89,0,0,0,18.21,0,0,157.65,0
