stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,4356.42,105539.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3486.03,0,0,0,0,0,0,0,0,0
  5-6,4701.29,55307.5,76.94,0,0,0,0,0,0,0,0,0,105.51,0,0,0,0,0,0,0,0,0,0,1693.24,192.41,0,0,339.51,687.97,0,0,0,0,0,0,0,0,0
  7-9,389.28,496.28,766.14,0,5.98,0,1125.25,0,0,0,0,0,388.41,0,0,0,0,0,0,0,0,0,0,13307.87,342.81,0,0,4564.5,12.2,201.72,0,0,0,0,0,0,0,0
 10-12,0,134.63,278.64,0,28.17,0,467.42,0,0,0,0,0,40.39,0,0,0,0,0,0,0,0,0,0,4869.26,73.9,0,0,2012.63,15.6,66.5,4.43,227.3,12.96,16.52,0,0,0,0
 14-21,0,0.9,13.51,147.76,25.72,0,75.21,0,0,0,19.52,8.37,0,1.07,0,9.17,0,0,0,62.38,0,0,51.76,1191.53,24.87,6.18,7.51,45.7,23.52,3.68,154.04,4.97,68.77,398.42,0,3.14,0,0
 24-34,0,0,7.5,38.72,3.3,0,260.36,0,0.78,0,35.36,6.6,0.67,0,0.73,0.65,3.25,1.51,1.79,185.18,1.03,0,54.76,2638.82,13.91,17.34,16.42,1,36.96,0,0,3.95,7.76,593.67,0,38.17,0,0
 36-46,0,0,0,37.45,18.74,0,711.08,0,1.85,0,50.95,0.66,0,0.67,0.94,0,2.64,0,0.62,147.84,0,2.04,44.31,2275.85,5.63,10.57,11.68,0,32.99,0.81,0,2.57,0,466.04,0,11.39,0,12.51
 48-58,0,0,0,29.76,6.21,0,864.38,0,0,0.72,38.9,0,0,2.09,1.91,0,8.81,1.56,1.48,152.64,0,13.81,29.75,1007.28,27.32,2.52,6.83,0,17.31,0,3.76,0,0,139.17,0,8.14,0,6.14
 60-70,0,0,0,36.72,0,0,630.6,0,0,0,46.97,2.56,0,0.71,2.02,0,0.58,0.73,0,138.99,1.83,6.1,18.58,593.8,1.85,0,1.12,0,4.98,0,0,1.19,0,21.38,0,6.46,0,0
 72-82,0,0,0,18.08,0.59,0,186.18,0.55,0,1.73,34.75,3.89,0,4.03,3.56,0,1.48,0,0,84.87,0.58,6.47,13.38,230.05,0.73,3.67,6.3,0,1.3,0,0,0,0,8.64,0.67,6.8,0,6.33
 84-94,0,0,0,14.87,0,0,159.68,0,0,1.01,17.87,6.26,0,0.8,0.79,3.89,0.62,0,0,67.87,0,14.05,14.12,239.05,3.31,2.22,2.3,0,10.07,0,0,0.88,0,12.35,1.17,8.42,1.78,0
 96-106,0,0,0,13.45,5.38,0,118.87,0,0.69,2.49,29.28,8.51,0,3.06,2.47,0,2.69,0,0.99,45.86,0,3.25,9.69,195.71,0.67,1.61,6.91,0,7.53,0,0,2.03,0,2.95,1.17,10.35,0.68,6.49
108-118,0,0,0,7.97,0.62,3.02,122.59,0,0,1.54,21.05,3.76,0,0,0.96,0,2.4,0,3.97,47.46,5.27,4.73,5.52,230.03,2.8,3.38,6.73,0,3.53,1.18,0,2.52,0,8.09,1.76,6.48,0,0
120,0,0,0,6.78,5.28,0,125.26,0,0,0,75.89,3.18,0,0,4.4,1.45,1.4,1.84,0,62.59,0,0,3.15,237.73,0,1.45,3.28,0,1.51,0,0,0,0,2.54,0,11.52,0,0
