stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61,6.09,0,0,12.24,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.28,0,0,0,7.85,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.33,9.38,3.19,0,1.01,0,0,0,0,2.05,0.89,0,0,0,0,0,0,4.46,0,0,0.84,9.23,6.72,0,0,0,0,26.67,0,0,0.99,0.92,0,2.62,0,0
 24-34,0,0,0.96,0,18.92,0,0,5.7,0,4.37,0.95,0,0,2.18,0,1.61,0,1.23,0,0,25.46,0,0,19.11,23.67,1.43,1.21,0,0,0,67.76,5.6,1.32,0.66,5.24,0,8.64,0,6.12
 36-46,0,0,0,0,35.48,0,0,2.49,1.31,4.9,0,1.83,0.72,0,1.34,0.93,0,0,0,0,28.44,0,0,1.52,8.59,2.67,0,1.08,0,0,75.81,2.28,0.64,0,6.26,0,1.4,0,2.73
 48-58,0,0,0,0,41.43,0,0,21.13,1.46,10.55,0,1.03,0,0,5.27,3.23,0,0.56,0,1.26,29.15,0,1.43,2.54,25.44,2.72,0,0.61,0,0,56.54,1.58,3.64,0,6.48,0,4.57,0,3.78
 60-70,0,0,0,0,24.83,0,0,3.84,0.74,13.44,8.9,1.78,0,0,9.84,0,0,1.2,0,0,15,0,5.29,4.81,24.82,1.79,1.56,0,0,0,47.21,0.93,1.46,0,1.78,1.22,0,0,2.83
 72-82,0,0,0,0,14.82,0,0,25.48,0,5.62,4.01,8.9,4.83,1.41,0,0.56,0,1.06,5.91,0,30.85,0,4.45,3.35,26.51,0,0,1.06,0,1.53,20.71,0,0,0,0,0,4.7,0,2.54
 84-94,0,0,0,0,26.55,0,1.52,24.87,0,5.65,2.05,9.04,0,0,6.45,0.62,0.96,0.89,0,2.81,58.7,0.57,0.94,0,28.61,1.16,2.89,0,0,0,59.89,7.09,0,0,1.18,0,3.34,0,0
 96-106,0,0,0,0,12.08,0,0,40.6,1.05,2.65,3.63,0,0.56,0,1.62,1.55,0,1.93,0,1.06,18.47,0,0,0,51.78,2.63,0.95,1,0,0,43.51,0.63,0.57,0,1.22,0,18.97,1.72,1.89
108-118,0,0,0,0,27.07,2.22,9.05,25.8,0,14.65,3.12,2.19,4.47,0,4.4,0.41,0.54,0,4.2,6.6,18.07,0,0,0.65,20.09,1.12,0,0.44,0,0,27.31,0.94,0.44,0,0,0,15.01,0,1.27
120,0,0,0,0,21.38,0,0,24.41,0,17.07,0,1.62,0,0,18.97,0,1.92,0,0,0,16.09,1.48,0,4.4,5.88,5.19,1.48,0,0,1.79,9.94,0,0,0,0,0,15.31,0,0
