stage,eye,fin_epithelia,hatching_gland,mesenchyme,neural,olfactory,periderm,pronephros,spinal_cord,vasculature
  7-9,0,0,6.16,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,5.63,0,0
 14-21,0,0,0,0,2.63,0,0,0,0,0
 24-34,0,0,0,0,0,4.68,0,0,0,0
 36-46,0,0,0,0,0.94,0,6.35,0,1.67,0
 48-58,1.33,0,0,0,0,2.79,0,8.42,0,0
 60-70,0,0,0,0,1.78,0,0,0,5.93,0
 72-82,0,0,0,0,0,0,0,0,0,2.68
 84-94,0,0,0,0.97,0,10.23,0,0,0,0
 96-106,0,0,0,0,4.34,0.63,0,0,0,0
108-118,0,3.02,0,0,0,0,0,0,0,0
