stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.41,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41,0,0,0,0.9,0,0,3.3,2.63,0,0,0,0,0
 24-34,0,0,2.37,0.66,0,5.53,0,0.75,0,0,0,0,0,0,0,0,0,0,0,2.74,88.19,0.68,0,0,0,9.54,0.87,1.16,15.45,0,0,0,0,0.92
 36-46,0,0,0,8.16,0,3.15,0,0,0.63,1.08,0,0,0,0,0,0,2.91,0,0,4.79,300.71,4.24,0.77,18.9,0,10.25,0,0,55.9,0,0,3.72,0,6.86
 48-58,0,0,0,0,0,24.62,0,0,0,2.77,0,1.39,0,0,7.88,0,2.53,0,0,0.48,393.63,2.41,0.61,6.31,0,3.39,0,0,69.88,0,0,0,0,38.33
 60-70,0,0,0,4.1,0,48.46,0,0,0,1.95,1.35,0,0,0,0,0,15.74,0,6.36,2.95,531.93,0.96,0,0,0,3.24,0,0,68.53,0,1.8,0,2.5,39.26
 72-82,0,5.25,0,3.06,0,59.34,0,0,0,6.82,2.33,0,0,0.53,0,9.92,21.32,0,0.57,0,767.37,1.95,0.76,1.41,0,3.02,0,0,75.25,1.69,0,2.32,4.77,85.23
 84-94,0,14.02,0,1.01,0,109.3,0,2.11,0,3.36,0,0,0,0.73,0,5.75,13.4,0.71,0,1.74,452.22,0,3.23,0.66,0,1.56,0,0,67.74,0,1.08,3.82,2.22,30.55
 96-106,0,17.59,0,3.35,5.26,61.33,0,0,0,7.86,2.67,0,0.86,0,1.5,0,16,0,0,0,387.92,0,1.7,1.88,0,5.65,0,0,29.3,0,1.26,2.58,0.87,42.22
108-118,0,9.67,0,4.82,1.34,66.74,0,0,0,12.17,1.69,0,2.17,0.75,6.82,0,35.01,0,0,4.11,504.54,1.44,0,2.24,0,0.81,0,0,19.9,0,0,0,3.67,77.95
120,0,40.92,0,3.24,0,67.06,2.34,0,0,15.26,0,0,0,3.6,0,0,8.58,0,13.12,0,593.35,0,0,1.48,2.5,0,0,0,3.82,0,0,0,10.55,15.51
