stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,27.43,48.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.84,0,0,0,0,0,0,0,0,0,0
  5-6,0,48.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.86,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,0,0,5.5,0,0,0,28.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.02,16.13,0,0,44.11,0,4.34,0,0,0,0,0,0,0,0,0,0
 10-12,0,19.04,0,0,0,0,0,36.83,0,0,0,0,4.71,0,0,0,0,0,0,0,0,0,0,0,419.75,40.33,0,0,65.72,0,0,0,10.25,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.83,53.6,2.04,0,6.2,0,0,2.23,0,0,0,0,0,0,0,0,0,3.19,0,0,4.14,169.55,2.09,0,9,0,0,1.1,0.89,13.18,0,1.78,90.24,0,0,0,0,0
 24-34,0,0,2.45,0.59,3.2,3.67,0,7.13,0,0,6.54,0,0,1.91,2.66,2.17,0,0,1.34,2.11,25.18,0,0,1.31,387.5,0,1.54,11.22,0,0,0.63,0,15.95,0,1.83,90.86,0,0,3.88,0,0.62
 36-46,0,0,0,0.56,3.18,0.9,0,17.59,0,0.57,11.48,0,0.76,0,4.25,0,0,1.16,0,14.15,29.82,0,0,1.08,698.19,0.58,4,3.41,0,0,3.06,0,8.01,0,0,114.88,0,0,2.03,0,26.62
 48-58,0,0,0.85,0.43,1.36,1.19,0,176.96,0.75,2.07,25.46,0,0.37,2.51,22.18,0,1.47,0.78,0.37,12.89,31.74,0.47,4.89,1.04,907.02,0,2.75,12.87,0,0,0.85,0,7.9,0,0,148.99,0,1.25,4.88,0,44.11
 60-70,0,0,0.9,0,6.28,2,0,517.61,0,3.23,65.84,0.85,0,6.35,16.08,0,1.99,3.02,11.08,7.28,73.58,2.44,0,3.98,1307.22,0,7.29,26.17,0,2.33,4.88,0,0.63,0,0,157.83,3.76,0,3.45,0,35.38
 72-82,0,0,0.68,0,13.94,0.57,0,626.49,13.51,9.88,123.35,0,1.11,2.26,27.73,1.87,5.97,0,3.14,9.75,69.72,0.78,0,1.05,1015.72,0,4.1,43.45,0,0,1.04,0,3.46,0,0,109.14,7.3,0.52,5.64,3.03,58
 84-94,0,0,0,0,11.58,3.13,0,492.44,3.03,2.44,113.97,1.98,3.18,4.17,20.92,0,17.06,2.49,0.68,18.11,80.68,1.5,1.94,1.13,753.86,0,6.68,58.01,0,0,2.01,0,0.63,0,0,73.75,12.71,2.16,11.9,0,25.66
 96-106,0,0,0.59,0,8.5,3.04,0,471.58,2.18,7.36,175.51,6.55,0,0,32.42,1.17,33.74,4.25,9.06,5.98,73.51,9.41,3.87,3,644.41,0,1.86,125.24,0,0,3.79,0,0,0,0,55.57,6.4,6.55,1.82,0,27.09
108-118,0,0,1.14,0,31.17,5.13,1.93,391.84,1.59,0.43,202.31,9.76,0,0,26.15,1.44,73.23,1.1,3.79,25.04,97.24,0,4.93,2.84,640.17,0.41,9.8,132.73,0,1.06,8.67,0,3.01,0,0,36.45,16.86,6.9,10.52,0.99,51.08
120,0,0,4.41,0,37.54,4.26,0,286.29,2.32,0,258.8,19.92,0,0,34.9,0,99.5,3.08,0,4.57,86.09,1.65,0,10.34,1409.52,0,10.4,145.07,0,0,10.21,0,13,1.63,0,89.24,24.23,5.79,3.54,9,30.01
