stage,blastomeres,epidermis,eye,glial,lateral_line,mesenchyme,neural,olfactory,paraxial_mesoderm,pgc,spinal_cord
  3-4,19.57,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,4.46,0,0
 14-21,0,0,0,0,0,0,0.89,0,0,0,1.21
 24-34,0,0,0,0,0,2.74,0,0,0,0,3.39
 36-46,0,0,0,0,0,0,13.56,0,0,0,5.06
 48-58,0,0,18.84,0,0,0,27.83,0,0,0,1.77
 60-70,0,0,48.6,0,0,0,18.65,0,0,0,1.93
 72-82,0,0,55.77,0.8,0,0.87,44.37,0,0,0.56,1.58
 84-94,0,0,31.76,5.82,0,0,13.71,0,0,0,3.28
 96-106,0,0,20.08,0,0.71,0,14.62,0,0,0,4.04
108-118,0,0.93,48.19,2.59,0,0,27.31,1.17,0,0,0
120,0,0,3.87,0,0,0,19.74,0,0,0,0
