stage,blastomeres,epidermis,eye,glial,immune,lateral_line,mesenchyme,pericytes,vasculature
  5-6,19.29,0,0,0,0,0,0,0,0
 10-12,0,0,10.38,0,0,0,0,0,0
 14-21,0,0,0,0,0.85,0,0,0,0
 24-34,0,2.98,0,0,1.28,0,0,0,1.01
 36-46,0,0,0,0,2.06,0,0,0,0
 48-58,0,0,2.73,0,11.46,0,0.41,0,0
 60-70,0,0,0,0,25.63,0,0,0,0
 72-82,0,0,1.61,0,10.28,0,0.62,0,0
 84-94,0,0,0,0,24.3,0,0.66,0,0
 96-106,0,0,7.2,0,20.97,0,7.46,2.4,0
108-118,0,0,0,9.13,33.16,0,4.95,1.19,0
120,0,0,8.64,1.91,15.58,1.15,0,0,0
