stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste
  3-4,46.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.82,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.72,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16,0,0,0,10.4,4.32,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.09,0,7.59,0,0
 14-21,0,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,20.86,0,0,0
 24-34,0,0,5.06,0,0.9,0,0,0,0,0,0,4.43,0.64,0,0,0.66,12.56,0,1.18,3.04,0,70.72,0,6.92,0
 36-46,0,0,0,0,0,0,0.64,0,0,0.57,0,3.18,0,0,0.91,0,26.86,0,3.69,0,0,42.59,3.52,0,0
 48-58,0,0,0,0,0,0,0,2.39,1.19,0,0,6.64,0.94,0,0,0.39,17.3,0,0,2.09,0,17.92,0.74,3.29,0
 60-70,0,0.86,0,0,9.14,0,1.21,0,0.63,0,0,0,0,0,0,1.14,15.95,0,1.42,7.67,0,26.36,0.64,2.03,1.62
 72-82,0,0,2.52,0,4.8,0,1.62,0,0,0,0,3.6,0,0,2.05,3.85,11.64,0,0,1.12,0,15.37,0,0,0.71
 84-94,0,0.98,4.22,0.74,2.49,1.69,0,3.8,0.66,0,0,3.67,0,3.03,0.74,1.16,24.93,0,0,0,0,40.92,0,0,2.17
 96-106,0,0,6.2,0,6.4,0.71,0,6.94,0,0,1.18,6.19,1.96,0,3.3,0.71,12.49,0,0,4.97,0,32.76,0,0,2.03
108-118,0,0,15.09,0,0,0,1.57,1.25,0,0,0,1.54,1.19,0.44,0,0.91,8.14,0.43,0,0.87,0,29.42,0,0,0
120,0,0,17.75,0,1.91,1.39,0,0,0,0,0,13.38,1.74,0,0,1.59,7.28,0,0,12.9,0,25.18,1.97,0,1.84
