stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,970.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.49,0,0,0,0,0,0,0,0,0
  5-6,15.27,303.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.44,11.94,0,16.97,0,0,0,40.37,0,0,0,0,13.27,0,0,0,0,0,0,0,0,0,0,0,145.43,11.2,0,0,59.92,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.4,5.72,0,0,58.11,0,0,0,3.49,0,0,0,0,0,0,0
 14-21,0,0,0,2.68,7.58,4.1,0,3.84,0,0,2.2,0,0,0,0,0,0,0,9.54,0,5.17,0,0,6.83,63.85,0.88,0,0,0,0,1.89,6.25,0,2.09,20.89,0,0,0,0,0
 24-34,0,0,0,0,1.78,1.96,0,18.85,0.71,0,4.31,0,0,0,0.87,1.64,0,0.61,4.87,0,11.91,0,0,5.14,137.49,0,0.96,0.62,0,0,1.11,0,2.41,1.91,33.37,0,0,24.2,0,0
 36-46,0,0,0,0,0,0,0,77.53,0,1.44,4.83,0,0,0,1.36,7.08,0,1.21,2.96,0,20.88,0,0,2.17,119.56,0.66,0.66,0.69,0,0,6.2,0,4.03,0,31.5,0,0,11.03,0,0
 48-58,0,0,0,0,0,0.91,0,70.73,0,2.19,24.21,2.29,0,0.45,1.08,0,0,0.37,0,1.72,23.27,0,0,3.65,129.67,0,0.65,5.01,0,0,2.09,0,0.44,0,25.66,0,0,31.08,0,0
 60-70,0,0,0,0,7.42,1.79,0,111.58,3.58,7.45,8.91,0,0,0,8.54,0,1.16,0.63,0,0,29.51,0,0.62,6.17,150.97,0,1.72,1.25,0,2.07,2.73,0,3.16,0,19.21,0,0.98,16.51,0,0
 72-82,0,0,0.68,0,8.29,33.16,0,124.99,0,3.87,30.33,5.5,0,3.16,7.88,1.53,0,0.63,3.49,0,65.64,0,0.76,5.43,178.98,0,2.76,1.04,0,0.87,10.22,0,12.29,0,23.25,0.69,2.05,33.59,1.29,0
 84-94,0,0,0,0,7.09,33.43,0,85.15,0.6,2.19,10.19,8.14,0,0,14.86,3.72,0.66,2.05,0.69,0,59.2,1.79,5.98,4.61,102.99,0.91,2.48,7.44,0,0,16.6,0,11.03,0,19.6,3.78,1.97,30.95,0,0
 96-106,0,0,0,0,14.71,34.32,1.09,118.91,2.95,11.97,29.19,19.96,0,0,31.42,2.93,1.52,0.66,3.09,0,75.58,5.18,1.67,2.28,132.1,1.39,2.56,5.18,0,5.54,32.35,0,25.99,0,8.55,4.09,0.72,55.82,4.91,2.52
108-118,0,0,0,0,11.69,15.02,0,76.77,3.18,0,23.63,27.48,0,0,22.37,0.59,1.31,3.15,8.68,0,87.5,3.58,2.06,1.77,149.06,0.55,3.95,0.44,0,1.02,15.26,0,14.43,0,4.35,0,3.92,34.56,1.13,0
120,2.82,0,0,0,30.74,15.72,0,31.79,13.77,0,14.48,56.43,0,3.83,30.2,1.65,0,0,0,0,82.22,0,16.5,1.8,141.3,0,0,3.72,0,0,33.66,0,9.53,0,0,1.27,0,22.73,0,0
