stage,epidermis,exocrine_pancreas,eye,glial,hatching_gland,lateral_line,liver,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,6.27,4.96,0,0,0,0
 10-12,0,0,0,0,9.39,0,0,0,0,13.49,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2.77,0,0,0,0.9,0,0
 24-34,0,0,0.6,0,0,0,0.67,1.44,0.86,0.83,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,3.08,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,1.36,0,2.94,0,0.8,0
 60-70,0,0,2.47,0,0,0,0,0,0,7.45,0,0,0,0,0
 72-82,0,0,5.38,1.53,3.11,0,0,2.14,0,11.94,0,0,0,0,0.68
 84-94,2.56,0,0.93,0,0,0,0,0,0,1.2,0,0,0,0,0
 96-106,0,0,1.84,0,0,0,0,0.77,0,1.21,0,0,0,0,0
108-118,0,0,0.56,0,0,0,0.45,0,0,5.84,0,0,0,0,0
120,0,4.06,0,0,0,2.19,0,0,0,4.4,0,0,0,0,0
