stage,blastomeres,epidermis,eye,fast_muscle,glial,hatching_gland,liver,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,72.9,0,0,0,0,0,0,0,0,0,0,0,30.59,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,7.05,0,0,0,0,0,5.39,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,18.77,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,5.23,0,0,0,3.54,7.87,0,0.86,0,0,0,0
 24-34,0,0,0,0,2.28,0,0,2.79,0,0,0.77,0,1.81,0,0,28.13,1.54,1.62,1.81,0.92,0,0
 36-46,0,0,0,3.08,0,0,0,1.8,0,0,22.75,0,0,0,0,7.24,0,0,0,0,0,0.57
 48-58,0,0,0,0,0.6,0,0,3.77,0,0.66,16.33,0,0,0,0,8.06,0,0,0,0,0,0
 60-70,0,0,0,0,1.04,0,0,3.62,0,0,6.48,0,0,0,0,11.8,0,0,2.31,0,0,0
 72-82,0,0,3.66,0,0,0,0,0,0,0,0.8,0,0,0,0,9.96,0,0,0,0,0,0.99
 84-94,0,0,0,0,0,0,0,5.14,0.82,0,15.15,0,1.11,0,0,0,0,0,0,0,0,0
 96-106,0,0,5.96,0,1.89,0,0,1.53,0,0,1.44,0,0,0,0,6.69,0,0,0.98,0,4.32,0
108-118,0,1.3,9.81,0,0,0,10.09,4.06,0,0,26.85,0,0,0,0,23.77,0,0,0,0,2.62,0
120,0,0,5.46,0,4.03,0,0,0,0,0,31.7,0,0,9.99,0,3.15,0,0,0,0,0,0
