stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste
  3-4,5759.96,170912.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9758.33,0,0,0,0,0,0
  5-6,4300.6,48108.17,0,36.24,0,0,0,0,0,0,0,55.7,0,0,0,0,0,0,0,0,632.01,69.06,0,0,134.75,1321.65,0,0,0,0,0,0
  7-9,138.83,27,0,42.36,0,0,0,71.59,0,0,0,19.44,0,0,0,0,0,0,0,0,1199.98,112.35,0,0,390.17,7.39,12.51,0,0,0,0,0
 10-12,0,26.81,0,16.86,0,0,0,30.42,0,0,0,0,0,0,0,0,0,0,0,0,143.55,13.1,0,0,44.52,0,0,0,10.04,5.05,5.09,0
 14-21,0,0,1.62,26.05,40.66,0,0,0,0,21.46,9.02,3.06,0,0,0,9.77,7.01,0,0,12.89,43.78,2.21,0.86,4.01,0,18.47,0,2.11,20.22,7.04,79.89,0
 24-34,0,0,0.66,0.79,2.71,0.62,0,4.63,0,3.35,1.55,0,0.67,0,0,0,0,0,0,1.33,45.75,0,3.32,4.05,0,1.77,0,0,0,1.02,46.63,0
 36-46,0,0,0,0,12.2,0,0,1.04,0.75,2.67,0,0,0,0,0,0,2.36,0,0,0,25.47,0,1.1,1.05,0,12.59,0,0,0,0,92.79,0
 48-58,0,0,0,0,0,0,0,6.14,0,6.34,0,0,0,0.51,0.65,0,6.79,0,0,0.89,15.98,0,0.48,0.44,0,0,0,0,0,0,68.54,0
 60-70,0,0,0,0,0,0,0,23.8,0,3.13,0,0,0,0,0.84,0,2.17,0,0,0,14.67,0,3.53,0.99,0,0,0,0,0,0,67.74,0
 72-82,0,0,0,0,0,0,0,0,0,6.59,0,0,0,5.35,0,0,3.71,0,0,0,38.94,0,0,0,0,0,0,0,0,0,28.11,1.68
 84-94,0,0,0,0,0,0,0.92,2.08,0,5.25,0,0,0,7.32,0.65,0,4.78,0,0,0,21.8,0,5.26,2.6,0,0,0,0,0,0,28.6,0
 96-106,0,0,2.31,0,3.2,0,0,2.57,1.14,32.36,2.19,0,0.9,0.59,0,0,1.33,0,1.6,0,28.27,0,2.39,0.6,0,2.34,0,0,0.7,0,16.63,3
108-118,0,0,0,0,3.52,0,0,0,0,29.35,1.59,0,0.56,2.75,0,0,0.76,2.33,0,0,22.44,0,2.52,7.15,0,0,0,0,0.52,0,1.5,1.99
120,0,0,0,0,11.17,0,0,0,0,74.82,0,0,1.36,0,0,0,0,0,0,0,14.5,0,3.86,0,0,0,0,0,0,0,0,1.63
