stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,hatching_gland,heart,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,69.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.86,0,0,0,4.42,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.78,0,0,0,5.45,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.28,0.81,12.25,0,0,0.91,1.82,0,0,0,2.76,0,0.92,31.72,0.83,0,0.84,0,0,1.64,2.34,8.12,0,0,0,0
 24-34,0,0,0,0.86,0,0,30.47,0,0,3.64,0,0,0,1.9,5.78,0,3.79,95.6,1.39,0,0,0,4.23,0,0,25.79,0,0,0,0
 36-46,0,0,0,0,0.6,0.73,31.94,0,1.03,23.93,0,0,0,0,2.85,0,0.72,134.08,0.65,2.1,0.72,0,2.64,0,0,33.01,0,0,0,0
 48-58,0,0,0,0,0,0,21.17,0.43,0,21.36,0.57,0,0.41,0,2.11,0,0.91,69.42,0,0,0,0,0.59,0,0,18.23,0.64,0,0,0
 60-70,0.81,0,0,0,0,0,13.29,0,0,28.95,0,0.78,1.66,0,14.12,0,0,70.47,0,0,0,0,0.7,0,0,22.88,0,6.59,0,0
 72-82,0,0,0,0,1.05,0,25.19,0,0,17.68,0,0,0,0,27.24,1.79,0,75.38,0,2.2,0,0,0,0,0,7.21,0,0,0,4.43
 84-94,0,0,0,0,0,0,18.03,0,1.87,3.47,0,0,0,0,4.69,0,1.12,89.66,0,0,1.14,0,0,0,0,0,1.38,1.59,0,0
 96-106,0,0,1.15,0,0,0,22.41,0,0,3.6,0,0.71,0,0,12.25,0.81,0,63.95,0,0,0,0,2.68,0,0,6.49,0,1.17,0,0
108-118,0,0,0,0,0.75,2.19,9.01,0,2.49,9.55,0,0,0,0,10.42,0.98,0,53.52,0,0,0,0,0.44,0,0,0.96,0,0,1.3,0
120,0,0,0,0,0,0,29.13,0,0,30.49,0,0,0,0,1.7,0,0,42.99,0,0,0,0,0,0,0,0,0,0,0,0
