stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,11.56,0,0,0,0,0,3336.84,0,0,0,0,0,0,0,0,0,0,0,17.84,0,0,0,4.47,0,0,0,0,0,0,0,0
 10-12,0,45.76,0,57.31,0,4.67,0,0,0,0,0,0,29781.17,0,0,0,0,0,0,0,0,0,0,0,1195.43,33.87,0,0,250.55,0,0,74.86,0,3.11,0,0,0
 14-21,46.91,0,2.91,16.75,399.24,81.07,97.23,0,0.87,0,57.84,5.33,63319.99,2.58,11.3,8.96,0,0,19.66,4.64,102.51,0,0,56.13,1869.86,117.18,8.64,13.96,42.12,105.47,273.17,9.91,53.25,281.28,693.09,17.83,0
 24-34,4.02,0,1.5,7.87,197.37,21.69,302.54,2.3,11.53,3.1,86.44,5.69,31512.48,6.24,13.66,9.92,4.87,4.42,47.89,15.44,238.34,5.55,0.69,157.28,3772.45,43.87,17.06,18.77,0,301.38,2.07,20.95,122.58,81.04,691.57,214.72,8.35
 36-46,0,0,0,0.72,31.72,0.73,72.19,0,9.33,3.61,10.84,0,13717.62,2.84,8.21,3.66,8.77,0,1.55,16.79,160.38,2.32,0,34.13,1383.83,6.91,1.15,0,0,72.28,0,9.4,5.58,1.9,94.02,7.65,28.86
 48-58,0,0,0,0.43,18.6,0,86.49,0,0,1.04,10.1,0,7866.39,0,0,3.61,10.61,1.05,0,2.19,39.52,0,1.19,3.08,330.36,0.62,0.81,0,0,24.72,0,0,5.37,0,44.48,1.73,17.84
 60-70,0,0,0,0,0,0.57,29.69,0,0,0,3.42,0,926.42,0,0,0,0,0,0,0,17.93,0.73,0,1.87,44.38,0,0,0,0,14.62,0,0,0,0,11.93,0,3.17
 72-82,0,0,0,0,0.78,0,1.04,0,0,0,0,0,100.79,0,0,0,0,0,0,0,2.97,0,0,0,5.13,0,0,0,0,1.94,0,0,0,0,0,2.77,0
 84-94,0,0,0,1,2.44,0,1.92,0,0,0,6.87,0,159.63,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0.84,0,0,0,0,0,0,0
 96-106,0,0,0,0.71,0,5.23,2.14,0,0,0,0,0,2.12,0,0,0,0,0,0,0,18.99,0,0,0,4.98,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2.18,0,0,4.86,0,0,0,0,1.09,5.48,0,0,0,0,0,0,0,0,0,0,0,21.2,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.28,11.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29,0,0,0,3.19,0,0,0,0,0,0,0,0,0,0,0,0
