stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,21.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.53,0,0,0,0,0,0,0
 10-12,9.1,0,0,0,0,0,0,0,0,0,0,0,0,4.18,5.13,0,149.47,0,0,0,0,0,0,0
 14-21,0,0,1.96,0,0,0,0,0,5.97,0,0,0,0.82,0,1.22,0,4.83,0,0,4.99,3.64,2.21,2.12,0
 24-34,0,0,0.6,0,0,0.6,0,0.63,28.98,0,0,0,0.94,6.35,8.73,0,0,0,0,0,14.46,2.26,0.98,1.13
 36-46,0,0.6,0,0,0,0,0,0,53.83,0,0,0,0,17.16,1.28,0,0,0,0,0,17.97,0,0,0
 48-58,0,0,0,0,1,0,0,1.96,40.11,0,0,4.64,0.4,5.64,0,0.8,0,0,0,0,5.37,0,0,0
 60-70,0,0,0,0,4.15,0.84,1.15,0,29.03,0,1.15,0,0,10.8,0,0.61,0,0,0,0,10.78,0,0,0
 72-82,0,0,0,0,0.6,0,0,0,34.08,2.69,1.24,0,0,7.69,0,0,0,0,0,0,6.67,0,0,0
 84-94,0,0,0,0,0,0,1.66,0,39.11,2.95,9.75,0,0,5.81,0,1.06,0,0,0,0,15.11,0,0,0
 96-106,0,0.57,6.18,0.59,0,0,0,0,42.1,1.15,10.49,2.16,0,18.79,0,1.19,0,1.14,0,0,10.59,0,1.97,1.6
108-118,0,0.42,0,1.27,0,0.59,0,0.75,42.77,7.3,37.61,4.7,0,15.03,0,0.7,0,1.34,0,0,11.5,0,0,0
120,0,0,0,1.78,0,0,0,0,74.72,13.18,22.85,9.74,0,0,0,0,0,0,2.5,0,13.25,0,0,0
