stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,8.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.22,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,6.28,0,0,0,0,0,11.46,0,0,0,0,0,0,0
 14-21,0,0,0.91,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,5.32,0,0,0,0,0,0.86,0,2.43,0,0,0,0,0,0
 24-34,0,0.75,0,2.16,0,0,0,0.83,0,0,0,0,0,0,0,0,0,1.69,0,0,0,17.84,0,0,0,0,0,0,0,0,2.47,0,0,2.13,0,0
 36-46,0,0,0,0,0,2.32,0,0,1.23,0,0,0,0,0,0.67,0,0,1.61,0,0,0,13.81,0,1.63,0.64,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.66,0,18.52,0,0,2.14,0,0,4.89,0.52,0,0,0,0,5.09,0,0,0,21.33,0,0,0,0,0,0,0,0,2.48,0,0,3.35,0,0.48
 60-70,0,0,0,0,0,263.3,0,0,0.79,0,0,0,0,0,0.63,0,0,15.27,0,0,0,17.01,0,0,0,0,0.81,0,0,0,0,0,0,0,1.96,0
 72-82,0,0,0,8.41,0,1118.5,0,0,26.22,0,0.66,0.71,0.7,0.57,0,0,1.69,11.98,0,0,0,51.91,0,0,0.6,0,0,0,0,0,0,0,1.37,0,0,0
 84-94,0,0,0,3.28,0,732,0,0,30.09,0,0,0.73,0,0,0,0,0,8.49,0,0,0,37.77,0,0.97,2.5,0,1.71,0,0,0,0,0,0,0,1.49,0
 96-106,0,0.91,0,1.47,1.95,1349.09,1.8,0,31.66,0,0,1.85,0,0.71,2.61,0,0,16.48,0,0.73,1.42,52.11,0,1.92,0,2.81,2.28,0,1.27,0,4.23,0,0,0,1.53,0
108-118,0,0,0,3.89,0.6,1129.63,0,0,19.41,0.41,0,0,0.44,0.58,0,0,4.16,3.6,1,0,0,21.64,0,0,0.6,0,2.17,0,0,0,0,1.87,0,0,8.76,0
120,0,0,0,5.17,0,687.42,1.05,0,3.3,0,0,0,0,0,0,1.97,0,31.37,0,0,1.8,47.23,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
