stage,blastomeres,erythrocytes,eye,gut,heart,liver,mesenchyme,neural,paraxial_mesoderm,spinal_cord,vasculature
  5-6,16.29,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.33,0,0,0,0,23.29,13.84,0,0
 10-12,0,0,13.16,0,0,0,0,19.82,0,0,0
 14-21,0,1.21,0,0,0,0,1.17,0,0,0.91,0
 24-34,0,0,1.34,0,0,0,1.07,5.72,0,1.15,0
 36-46,0,0,0,0,0,0,0,20.17,0,3.36,1.3
 48-58,0,0,3.36,0,0.65,0,0.37,8.72,0,1.81,0
 60-70,0,0,9.4,0,0,0,0,16.37,0,2.11,0
 72-82,0,0,0,0.71,0,0,0.9,12.62,0,0,0
 84-94,0,0,0.65,0,0,0,0,3.73,0,0,0
 96-106,0,0,7.44,0,0,2.46,0,12.08,0,9.83,0
108-118,0,0,0,0,0,0,0,11.52,0,0,0.56
120,0,0,0,0,0,0,0,5.97,0,0,0
