stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,visceral_smooth_muscle
  3-4,9.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,7.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.68,0,0,0,0
 14-21,0,0,1.71,0,13.21,0,0,1.17,0,1.49,0.94,0,0,0,0,0,0,0,0,0,1,11.26,0,0,0,6.3,51.16,0,1.17,0,0
 24-34,0,0,0,0,0,0,0.74,0,0,0,0.73,0,0,0,0,1.14,0,10.13,0,0,1.35,20.06,2.96,0,0,0,17.01,0,2.47,0,0
 36-46,0,0,0,2.1,0,0,3.04,2.04,1.09,0,1.6,0,0,0,0.61,0,0,10.18,0,0,0,24.22,0,0,0,0,7.07,0,6.18,0,0
 48-58,0,0,0,0,0,0,1.14,0,0.45,0.37,3.54,0,0,0,0,0,0,11.31,0,0,0.95,30.21,0,0,0,0,1.12,0,0.69,0,0
 60-70,0,0,0,1.29,0,0,3.75,0.85,0,0,5.79,0,0,0,0,0,0,19.46,0,1.12,0,21.53,0,0,0,0,0,0,4.09,0,0
 72-82,0,0,0,0.79,0,0,3.5,0,0,0.91,0.53,0,0,0,0,0,0,34.22,1.13,0,1.26,42.5,0,0,0,0,6.76,0,4.82,0,1.86
 84-94,0,0,0,2.55,0,0,5.85,0,0,0,2.64,0,0,0,0,0,0.63,55.73,0,2.02,3.24,44.63,0,0.93,0,0,1.07,0,0,0,0
 96-106,0,0,0,3.32,0,0.97,12.75,1.32,0,7.49,2.46,0,0,2.57,0,0,0,23.15,0,1.26,1.09,24.72,0,0,0,0,0,0,0,0.99,2.37
108-118,0,1.11,0,9.23,0,1.62,6.75,3.28,0,1.41,3.35,0,0,2.76,0,0,0,24.55,0,1.3,1.36,36.05,0,0,0.55,0,1.81,0,0,0,1.4
120,0,0,0,13.7,0,0,0,0,0,17.01,3.6,0,4.91,9.54,0,0,0,13.05,0,0,0,3.09,0,0,0,0,0,1.21,0,0,0
