stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,heart,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,57.35,0,0,0,0,0,0,3.5,0,0,0,0,0,0,416.78,0,0,0,15.72,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.88,28.85,1.65,0,0,31.17,0,0,0,3.34,5.54,0,3.01,976.18,0,0,0,0,0,1.88,0.91,1.19,85.49,0,0,0,0,0
 24-34,0,0,20.48,0.91,15.1,0,175.92,0,0,0.6,2.21,8.69,0,1.53,1603.45,4.08,2.67,0,0,0,0,1.58,0,134.35,0,0,0,0,0
 36-46,0,0,35.82,0,16.1,0,128.19,0,0.73,0,0,8.92,0,5.58,819.98,0,0,0,0,0,0,0,0,80.7,0,0,0,0,0
 48-58,0,0,13.46,0,21.73,0.47,70.1,0,0.51,0,0,21.2,0,4.07,457.13,0,0,0,0,0,0,0,0,46.18,0,0,3.15,0,0
 60-70,0,0,6.28,0,6.25,0,46.6,0,0,0,0,23.28,2.56,8.77,252.32,0,0,0,0,0,0,0,0,9.38,0,0,0,0,0
 72-82,0,0,4.63,6.36,13.63,0,142.44,0,0,0,0,48.1,1.75,2.34,221.79,0,0,0,0,0,0,0,0,27.49,0,0.87,0,0,3.44
 84-94,0,0,4.93,0,20.18,0,112.73,0,0,0,0,51.44,0,0,145.35,0,0,0,0,0,0,0,0,13,1.01,0,0,0,0
 96-106,0,0,0.56,0,10.93,0,89.6,0,0,0,0,49.19,0,2.41,92.04,0,0,2.73,0,0,0,0,0,19.46,0,0,0,0.86,0
108-118,0,0,3.67,0,5.65,0,99.82,0,0,0,0,56.39,0,0,78.03,0,0,0,0,0.76,0,0,0,4.65,0,0,0,0,0
120,0,0,2.34,0,0,0,36.6,0,0,0,0,46.09,0,3.16,42.86,0,0,0,0,0,0,0,0,5.85,0,0,0,0,0
