stage,epidermis,eye,fin_epithelia,immune,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,2.65,0,0,0,1.33,0
 24-34,0,0,0,0,0,1.31,0,0,0,0,1.51,0
 36-46,0,0.57,0,0,0,0,9.01,1.27,0,0,0,0
 48-58,6.42,0.46,0,0,0,0.55,3.5,2.14,0,0,0,0
 60-70,1.29,2.26,0,0,0,0.78,3.47,0,0,0,0,0.88
 72-82,0.53,1,0,0,0.49,0,2.93,0,0,3.44,0,0
 84-94,2.44,0,0.62,0,0,0,0,0,0.71,0,0,1.73
 96-106,1.18,0.76,0,0.95,0.78,0,0,0,0,0,0,0
108-118,4.24,7.17,0.72,1.28,0,0,5.28,0,0,3.44,0,0.73
120,5.43,7.27,0,4.78,0,1.77,0,0,0,0,0,1.14
