stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,49.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,13.2,0,0,0,0,0,0,0,0,10.75,0,0,0,3.47,0,0,0,0,0,0,0
 14-21,0,9.77,0,1.69,0,0,1.83,0,0,0,0,0,0,2.67,0,0,1.07,11.86,1.85,0,0,0,0,0,1.04,4.76,0,2.89,0
 24-34,0,0.69,0,2.56,0,0,0,0,0,0,0,0,0,5.59,0,0,10.7,21.06,0.6,0,0,0,0,3.24,0,1.69,0,1.26,0
 36-46,0,0,0,0.95,0,0,3.91,0,0,0,0,3.34,0,7.65,0,0,0,15.73,0.56,0,0,0,0,0.58,0,1.44,0,0,0
 48-58,0,0.73,0,2.77,3.41,4.15,0,0,0,0,0,0,0,6.61,1.73,0.56,1,31.34,0,0,0,0,0,0,0,3.77,0,0,0
 60-70,0,0,0,1.52,0,0,0,0,0,0,0,0,0,2.31,0,29.58,0,31.33,0,1.22,0,0,0,0.72,0,2.7,0.65,0,1.41
 72-82,0,0,0,24.95,0,0,4.36,0.49,0,8.85,0,0,0.5,6.59,0,0,0,16.72,0,0,0,0,0,0,0,1.56,0.9,0.49,12.77
 84-94,0,1.44,1.67,2.82,0,0,0.57,0,0,0,0,1.32,0.77,1.45,0,0.95,1.65,11.56,0,0,0.55,0,0,0.7,0,7.77,1.11,1.12,28.43
 96-106,0,0.7,0.56,8.48,0,0,4.92,0,0,9.42,0.75,0,0.57,4.32,0,0,0,13.34,0,0.68,0,0,0,1.22,0,0,3.41,0,19.25
108-118,0,0,0.46,25.82,7.96,0,2.33,0,0,17.03,0,0,1.57,13.44,0,0,0,17.51,0,0,0,0,4.92,7.71,0,0,8.1,4.15,15.43
120,0,0,1.89,5.84,0,0,4.21,0,0,26.16,0,0,1.19,6.21,0,0,1.91,19.89,0,0,0,0,0,5.08,0,11.17,0,0,42.75
