stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16,0,0,0,0,0
  7-9,24.14,0,0,0,0,0,0,0,0,0,0,0,0,0,25.66,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.44,10.48,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,8.39,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,2.51,0,0,0,0,0,0,0,0,0,67.72,0,0,0,0,2.41,0,0,0
 48-58,0,0,0,0,5.93,0,0,2.03,0,0.7,0,0,0,0.41,84.22,0,0,0,0,2.36,0,0,0
 60-70,0,0,0.68,0,12.28,0,5.6,16.15,0,0,0,11.22,0,0,265.37,0,0,0,1.57,20.65,0,0,0
 72-82,0,0,1.29,0,40.19,0,0,17.42,0,0,0,4.67,0,0,690.38,0,0,0,0,8.97,0,0,0
 84-94,0,0,0,0,37.56,1.27,0,5.62,0,0,0,0,0,0,427.42,0,0,0,0,7.46,0,0,0
 96-106,0,0,0.67,0,19.39,0,0,4.2,0.83,0,0,0.81,2.29,0,369.04,0,2.47,7.46,0,0,0,0,0
108-118,0,0,0,0.85,17.56,0,0,3.34,0,0,0.78,4.63,0,0.76,413.29,0,0.66,3.32,0,9.69,0,1.03,1.42
120,0,0,0,0,18.99,0,0,27.55,0,0,0,2.66,0,0,778.75,0,1.45,4.35,0,14.89,7.1,0,0
