stage,epidermis,eye,glial,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,periderm,spinal_cord,vasculature
 14-21,0.85,0.9,2.62,0,0,0,5.36,3.18,0,0,3.48,0
 24-34,0,0,0,0,0.64,0.81,0,15.86,0.79,3.84,4.01,1.63
 36-46,1.17,0.79,0,0,1.17,0,0,20.57,3.12,0,8.28,0
 48-58,0,21.13,0,0,1.31,0,0,16.21,0,0,1.17,0
 60-70,0,67.47,0,0,0,0,0,6.6,0,0,2.78,0
 72-82,3.62,100.76,2.43,0,0.5,0,0,7.34,0,1.97,0,0
 84-94,0.89,61.05,5.4,0,1,0,0,0,0,0,0,0
 96-106,0,205.59,0,0.58,0,0,0,0,0.71,0,0,0
108-118,0.46,106.72,0,0,2.6,0,0,3.84,0,0,0,0
120,0,25.32,1.51,0,0,0,0,32.14,0,0,0,0
