stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,hatching_gland,heart,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,0,31.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.23,13.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.29,0,0,0,0,0,0,0,0,120.18,0,0,0,0,0,0,0,0
 10-12,0,48.9,0,0,6.53,0,6.81,0,0,0,1846.21,0,29.53,0,4.8,0,0,0,0
 14-21,0,0,5.54,0,2.14,7.56,0,0,2.4,0,842.79,1.28,0,1.31,0,0,0.99,27.08,0
 24-34,0,0,1.84,0,6.76,57.92,0.67,1,0,0,1192.42,0,0,0,0,0,0,53.91,0
 36-46,0,0,0,0,1.96,17.6,0,0,1.65,0,834.88,0,0,0,0,0,0,31.24,0
 48-58,0,0,0,0,11.31,34.46,0,0.51,5.69,7.33,447.37,0,0,0,0,0.95,0,40.81,0
 60-70,0,0,1.93,0,6.86,7.85,0,0,21.29,1.69,269.4,0,0,0,0,0,0,16.19,0
 72-82,0,0,0,2.32,4.22,33.07,0,0,8.15,0,178.33,0,0,0,0,0,0,16.75,1.95
 84-94,0,0,0.67,0,10.94,22.1,0,0,12.59,0,59.14,0,0,0,0,0,0,14.5,0
 96-106,0,0,0,4.59,6.48,17.74,0,0,13.21,0,80.65,0,0,0,0,0,0,1.99,0
108-118,0,0,1.09,1.73,5.07,17.98,0,0,6.74,0,67.95,0,0,0,0,0.51,0,0.95,0
120,0,0,5.48,0,1.08,9.32,0,0,57.07,0,121.03,0,0,0,0,0,0,0,0
