stage,axial,blastomeres,eye,glial,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle
  3-4,111.27,4700.24,0,0,0,0,0,0,151.13,0,0
  5-6,56.37,1613.53,0,0,0,0,6.44,0,25.68,0,0
  7-9,0,0,6.87,0,0,0,26.01,13.04,0,0,0
 10-12,0,6.44,0,0,0,0,10.52,0,0,0,0
 14-21,0,0,0.96,0,1.23,0,0,0,0,1.19,0
 24-34,0,0,0,0,0.73,0.64,3.12,0,0,0,0
 36-46,0,0,0,0.83,0,0,5.89,0,0,0,0
 48-58,0,0,0,5.32,0,0,2.3,0,0,0,0
 60-70,0,0,0,2.91,0,0,9.87,0,0,2.22,0
 72-82,0,0,0.53,4.47,0,0,2.48,0,0,0,1.01
 84-94,0,0,0,1.94,0,0,0,0,0,0,0
 96-106,0,0,0.57,7.21,0,0,2.67,0,0,0,0
108-118,0,0,0,1.26,0,0,0,0,0,0,0
