stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,heart,immune,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0
  5-6,26.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,0
 10-12,0,7.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0.81,0,0
 24-34,0,0,0,0.62,0,0,0,0,0,0,0,1.04,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0.8,0,0
 48-58,0,0,0,8.93,0,0,0,0,0,0,0,1.84,0,0,0,0,0,0
 60-70,0,0,0,96.94,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0
 72-82,0,0,0.54,396.84,0,1.65,0,0.59,1.58,0.96,0,7.22,0,0,0,0,0,0.52
 84-94,0,0,6.25,308.8,0.91,16.2,0,0,1.16,0,0,5.32,1.14,0,0,0,0,0
 96-106,0,0,0,439.14,0,4.17,0.58,0,0.58,0,0.81,6.96,0,0,0,0,0.68,0
108-118,0,0,0,371.61,0,0,0,0,0.74,0,0,2.35,1.46,0,0,0,0,0
120,0,0,0,46.63,0,0,1.85,0,1.85,0,0,43.4,0,0,0,0,0,0
