stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  5-6,0,6.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.54,0,8.66,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.82,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,2.48,83.23,0,6.1,1,0.9,3.56,0,5.66,0.85,0,0
 24-34,0,0,0,0,0,0.66,0,0,0,0,0,0,1.7,0,0,0,0,0,0,4.53,29.24,0,0,7.33,0,0,0,2.04,2.05,0,0
 36-46,0,0,0,0,8.63,0,0,1.89,0,0,0,0,2.9,0,0,0,0,0,0,3.55,12.87,0,0,18.57,0.81,0,0,0,1.46,0,0
 48-58,0,0,0,1.75,0,0,0,0.65,0,1.82,2.05,0,2.94,0,0,0,0,0.52,0,13.09,7.97,0,0,26.93,0,0,0,0,0.45,0,0
 60-70,0,0,0,0,0,0,0,2.75,0,0,2,0,2.81,0.85,0,0,0,0,0,0,1.04,0,0,62.35,0,0,3.48,0,0,0,0
 72-82,0,0,0.64,0.56,5.98,0,0,1.69,0,0,0,0.72,14.1,0,2.11,0,2.4,0,0,0,2.4,0,0,48.1,0,0,0,0,0,4.84,0
 84-94,0,0,0,0,8.64,7.21,0,0,0,0.68,0,0,18.55,2.39,0,0,0.96,1.84,0,7.5,0,0,0,199.92,0,0,0.57,0,0,0,0
 96-106,0,0,0,0,23.77,0.92,0,5.07,0,4.51,0,2.54,33.93,0.6,0,1.28,0.66,1.83,0.63,32.27,0,0,0,189.66,0,0,0,0,0,0,0.81
108-118,0,0,0,0,11.75,0,1.42,1.39,0.46,2.13,5.26,1.12,35.36,3.41,0.73,0,0,3.33,0,11.55,1.18,0.48,0,193.95,0,0,0,0,0,0,0.65
120,1.12,0,0,0,9.74,0,0,0,0,6.81,0,0,17.8,4.07,0,1.15,2.91,0,0,2.77,0,0,0,132.82,0,0,0,0,0,0,0
