stage,blastomeres,epidermis,erythrocytes,eye,glial,hatching_gland,heart,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,64.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,75.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,14.74,0,0,0,4.82,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.05,0,0,0,0,0,0,17.82,0,0,0,20.87,0,0,0,0,0,0
 14-21,0,0.87,0,0,0,0,0,0,0,0,0,0,17.67,0,0,0,0,0,0,0.85,24.25,0,0
 24-34,0,0,0,1.4,0.95,0,0,0,0,0,0,0,206.63,0,0.98,0,0,0,0,0,62.32,0,0
 36-46,0,0,0,2.87,0,0,0,0,0,0.88,0,0,485.86,0,0,0,0,0,0,0,88.25,0,0
 48-58,0,6.58,0,69.28,16.75,0,0,0,0,11.51,0,0,734.9,0,0,0,0,2.81,0.94,0,54.89,0,0
 60-70,0,2.18,0,210.94,7.77,0,5.1,7.17,1.16,32.21,0.66,0,1451.49,0,0,0,0,0,0,0,98.04,0,0
 72-82,0,6.69,1.08,204.78,11.71,0,1.84,0,0,7.8,0,3.82,1239.99,0,0,0,0,0,0,0,47.33,0,0
 84-94,0,0.57,1.49,145.02,15.57,0,0,0.65,0.69,11.01,0,0,759.12,0,0,1.14,0,0,0,0,37.8,1.91,0.97
 96-106,0,0,0,84.45,3.01,0,0,0.66,0,4.14,0,0,466.28,0,0,1.16,0,0,0,0,12.53,0,0
108-118,0,2.23,0,82.41,5.09,0,0,0,0,5.83,0,0,519.36,0,0,0,0,0,0,0,25.48,0,0
120,0,3.8,0,73.42,8.22,0,0,0,0,13.57,0,0,770.03,5.7,0,0,0,0,1.52,0,18.15,0,0
