stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.13,1.73,20.39,18.26,0,8.06,0,0.82,0,278.35,1.85,0,0,0,0,0,0,0,0,22.19,0,0,12.1,343.42,48.78,26.44,61.67,120.71,0,2.24,5.44,298.64,1.17,9.46,1053.68,0,0,1.94,0,0
 24-34,1.29,0,16.85,0,0,16.35,0,0.71,0.99,280.42,0,0,0,0,1.36,0,1.14,0.76,0,20.97,0,0,5.12,401.56,6.68,164.37,30.03,0,0,20.64,0,97.7,0.91,11.67,531.18,0,0,6.18,0,0
 36-46,0,0,15.34,0.72,0,23.67,0,8.76,2.07,206.99,0,0,3.31,0,0,0,0,0,0,13.95,0,0,2.94,566.18,1.71,137.27,9.77,0,0,21.76,0,51.84,0,0,417.06,0,0,4.09,0,0
 48-58,0,0,6.13,0,0,87.77,0,0.39,0.5,166.67,0,0,0.78,0,0,1.22,2.1,3.07,3.46,17.47,0,0.5,8.62,498.82,3.03,92.84,26.93,0,0.39,9.53,0,26.84,0,0,437.42,0,0,6.43,0,1.38
 60-70,0,0,10.4,0,0,108.42,0,4.76,1.23,118.77,0,0,0.75,0,0,0,4.94,0,0,27.32,0,6.64,0,702.08,1.57,119.38,10.42,0,0,1.97,0,9.47,2.72,0,277.73,0,0,3.19,0,0
 72-82,3.55,0,8.02,5.12,0,153.26,0,1.14,2.79,187.12,1.37,0,0,0.58,0,0,12.38,3.14,0,46.38,1.48,1.11,1.42,733.83,0,184.52,21.65,0,2.44,6.73,0,13.13,0,0,246.88,8.84,0,14.76,0.7,0
 84-94,3.26,4.65,10.39,0,0,140.01,0,0,0,103.9,5.16,0,1.02,0,0,5.7,11.69,0,4.95,73.3,0,0.6,3.4,472.1,0,178.67,36.77,0,9.06,14.79,0,22.16,0,0,210.92,5.36,0,4.79,3.5,0.8
 96-106,1.1,6.11,23.49,0,0.59,90.66,3.09,2.12,1.35,107.14,1.15,1.06,0,0.7,0.65,0.71,24.17,0.88,0.58,33.92,2.08,12.01,3.41,385.1,2.78,235.32,54.01,0,15.57,7.18,0,15.27,6.35,0,133.08,4.42,1.22,8.99,1.13,12.2
108-118,0,2.8,32.22,1.58,7.32,95.06,0,6.38,0.64,138.05,3.77,0,0.86,1.09,2.97,2.76,17.41,2.65,0.51,52.11,1.91,7.76,11.89,517.78,1.9,158.89,33.37,0,24.97,12.4,0,24.84,0,0,121.82,14.41,4.41,2.66,2.45,0
120,0,0,17.88,0,0,107.87,2.22,4.55,8.5,126.83,1.5,0,4.06,0,2.4,3.33,5.19,6.32,2.66,144.67,0,36.47,24.8,552.61,7.66,92.59,67.33,0,0,14.79,0,21.73,1.52,0,56.67,3.86,0,16,0,6.74
