stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,fin_epithelia,glial,hatching_gland,heart,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  5-6,0,44.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.11,0,0,14.02,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,5.94,0,0,0,0,0,0,0,565.61,0,0,105.99,0,0,0,0,0,0,0
 14-21,0,0,0,31.84,1.44,0,0,0,0,0,0,0,0,1.35,0,0,447.81,2.63,0,1.03,0,1.29,0,27.87,0,0,0
 24-34,0,0,0,4.37,0,0,0,0,0,0,0,0,0,0,0,0,371.79,0,3.76,0,4.19,0,0.63,22.64,0,0,1.43
 36-46,0,0,0,0.73,0,0,0,0,0,0,0,0,0,1.1,0,0,626.48,0,0,0,0,0,0,106.41,0,0,0
 48-58,0,0,0,0.43,21.63,0,5.82,5.76,0,0,0.4,0,0,2.25,0,0,810.85,0,0,0,0.88,0,0,176.97,0,0.54,0
 60-70,0,0,0,0,9.09,0,0,9.83,0,0,0,0,11.76,1.54,0,0.83,856.49,0,0,0,0,0,0,102.39,0,0,1.79
 72-82,0,0,0,4.39,66.24,0,1.43,13.24,0,0,0,0,0,11.22,0.78,0.6,836.07,0,0,0,2.86,0,0,26.77,0,1.59,0
 84-94,0,0,0,5.07,28.46,0,0,5.84,0,0,0,0,0,11.89,0.72,0,532.27,0,0,0,0,0,0,26.1,0,0,0
 96-106,0,0,2.97,7.35,28.25,1.64,0.59,6.25,0,0,0,0,0,13.48,0,0,456.27,0,0,0,0,0,0,2.12,0.7,0,0
108-118,0,0,0,4.17,10.28,0,0,4.97,0,1.47,0,1.68,0,5.87,0,0.75,574.64,0,0,0,2.42,0,0,2.19,0,0,0
120,0,0,0,1.88,29.01,0,0,4.04,0,0,0,0,0,4.31,17.89,0,631.35,3.33,0,0,0,0,0,0,0,0,0
