stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,9.78,508.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.67,0,0,0,0,0,0,0
  5-6,25.33,525.38,0,10.71,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,56.8,0,0,34.96,0,8.88,0,0,0,0,0,0,0
  7-9,8.7,15.83,0,16.94,0,0,18.48,0,0,0,0,19.07,0,0,0,0,0,0,0,0,0,301.77,4.46,0,71.95,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,33.69,0,0,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282.53,0,0,65.43,0,0,0,10.58,6.98,10.18,0,0,0
 14-21,0,0,0,0,4.84,0,1.75,0,0,0,0,0,0,0,0,0,0,0.86,3.91,0,2,21.4,0,0,0,0,3.94,2.9,0,7.67,7.51,0,0,0
 24-34,0,0,0,0,4.9,0,2.25,0,0.92,0,1.22,0,0,0,0,0,0,0,16.81,0.69,2.15,89.21,0.7,2.01,0,0,0.71,0,0,6.38,14.3,0,0.7,0
 36-46,0,0,0,0,0,0,3.96,0,2,0.58,0,0,0,0,4.15,0,0,0,4.55,0.57,0,32.08,5.31,0,0,0,0,0,0,0,20.41,0,2.04,0
 48-58,0,0,0,0,1.01,0,14.23,0,0.55,2.8,2.29,0,0.42,0,0,0,0,0,9.7,0,2.02,48.08,3.77,0,0,0,0,0,0,0,10.67,0,0,0
 60-70,0,0,0,0,3.36,0,13.29,1.34,0,0,0,0,0,0,3.63,0,0,0,11.06,1.96,0.68,20.96,0,0,0,0.71,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,28.16,0,4.69,9.01,0.67,0,0,4.38,0,0.64,0,0.49,21.81,0,1.25,43.2,0,1.04,0,0,0,0,0,0,18.12,2.62,0,1.84
 84-94,0,0,0,0,0,0,4.26,4.32,0.85,0.66,0,0,0,1.03,0,0,0,0,7.78,2.31,1.79,15.2,0,0,0,0,0,0,0,0,0,1.03,0,1.07
 96-106,0,0,0.81,0,0,0,9.44,0,4.46,9.21,0,0,0,0,0,0,1.06,0,9.22,0,0,41.41,0,0.73,0,0,6.61,0,0,0,4.12,1.26,0,1.43
108-118,0,0,0,0,0,1.71,3.32,0,0,0,0.92,0,0,0,0,0,0,0,6.68,0,0,24.87,0,1.35,0,0,1.68,0,0,0,0,0,0,0
120,0,0,1.22,0,0,1.59,0,0,4.21,2.8,0,0,0,0,0,0,0,0,7.56,0,2.49,14.96,0,0,0,0,1.1,0,0,0,0,0,0,0
