stage,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,glial,gut,heart,lateral_line,liver,mesenchyme,neural,notochord,olfactory,otic,periderm,spinal_cord,vascular_smooth_muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.52,0,0,0,0,0,0
 14-21,0,1.83,0.9,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0.97,0
 24-34,1.35,0,0,0,0,0,0,0,0,0,0,1.17,1,0,3.9,2.16,0,0
 36-46,0,0,0,0,1.05,0,0,0,0,0,0,0.78,0,0,0.57,0,0,0
 48-58,0,0,0,0,0.75,0,0,0,0,0,0,2.89,0,0,1.74,0,1.02,0
 60-70,0,0,0,0,0,3.22,0,2.13,0,3.19,0,9.68,0,1.44,2.68,0,0,0
 72-82,0,0,2.96,0,1.23,2.65,0,0,0,0,0,3.38,0,3.04,3.35,0,0.63,2.24
 84-94,0,0,0,0,0,1.09,0,0,0,0.6,0.61,1.01,0,0.83,2.44,0,3.97,0
 96-106,0,0,0,0,0,0,0.89,0.96,0,0,1.84,0,1.64,6.63,8.94,0,2.5,0
108-118,0,0,0.81,1.5,0.78,5.28,0,1.02,0.98,0.49,0,1.86,0,4.62,0,0,2.03,0
120,0,0,0,0,0,0,0,0,0,0,9.25,10.08,0,0,2.34,0,0,0
