stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,glial,gut,immune,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature
  5-6,11.62,7.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.44,0,0,7.33,0,0,0,0,0,39.99,0,0,8.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,10.24,0,0,7.56,0,5.61,0,0,0
 14-21,0,0,0,0,0,0,0,0,7.67,0,0.9,7.63,0,0,0,0,0,0,0.96,0
 24-34,0,0,0,0,0,0,0,0,51.37,0,2.3,21.25,0,0,0,0,0,0.72,2.08,0
 36-46,0,0,0,0,0,3.96,0.88,0,116.94,5.17,0.75,14.3,0,0,0,2.98,0,0,2.64,0
 48-58,0,0,0,0,0,0.86,0.85,0,116.74,0,0,9.69,0,0.74,0,0,0,0,0.65,0
 60-70,0,0,0,0,0,7.81,0,0,130.6,0,0.83,2.23,0.62,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,4.52,0,0,129.46,3.07,0,3.77,0,0,0,0,0,0,0,0.83
 84-94,0,0,0,0,0,0,0.58,0,157.45,3.85,0,3.27,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0.7,0.79,1.83,199.28,2.37,0,1.01,0,0,0,6.69,0,0,0,0
108-118,0,0,0,0.54,1.44,1.96,1.39,0,190.24,1.87,0,9.63,0,0,0,0,0,0,0,3.99
120,0,0,0,0,0,0,0,0,270.44,0,0,17.8,0,0,0,0,0,0,0,0
