stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,9.69,10.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3,4.97,0,0,68.81,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1339.7,0,0,0,204.93,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,71.91,0.91,0,0.99,0,0,0,0,1.7,0,0,0,0,0,0,0,8.1,0,5.63,2894.04,16.31,0,0,11.6,0,3.89,0,1.09,39.09,112.28,0,0,0,0,0
 24-34,0,0,0,10.63,0,0,1.74,0,0,0,1.94,1.79,0.95,0,0.59,0,0.78,0,0,4.26,0,2.28,921.23,2.7,3.66,0,0,0.76,0,0,0,0,100.33,0,0,0,0,0
 36-46,0,0,0,10.7,0,0,8.99,0,0,0,0,0,0,0,0,0,0,0,0,1.62,0,0.81,1351.38,0,0,0,0,0,0,0,0,0,98.55,0,0,0,0,0
 48-58,0,0,0,4.9,0,0,67.59,0.62,0,5.12,20.48,0,1.38,0,0,0,0,5.79,13.76,11.01,0,2.69,2343.64,0,0,7.16,0,5.26,0,0,1.46,0,190.37,0,0,0,0,0
 60-70,0,0,0,1.27,0,0,94.2,0,0,2.51,13.35,0,0,0,0,9.72,0,0,0,10.58,10.58,0,2254.92,0,0,0,0,0,0,0,0,0,278.85,0,0,0,0,0
 72-82,0,0,0,13.9,4.53,0,113.55,0.51,0,4.81,33.25,0,0,1.18,0,0,0,0,3.59,29.79,0,0,2197.76,0,1.19,2.38,0,1.44,0,0,0,0,179.02,0,0.78,1.8,0,42.94
 84-94,0,0,0,6.93,0,0,33.54,0,0,1.54,13.2,0,0,0,0,0,0,0,0,12.8,0,0,1195.28,0,0,1.6,0,3.39,0,0,0,0,130.6,0,0,0,0,6.7
 96-106,0,0,0,1.58,1.26,0,28.31,0,3.26,6.67,43.26,0,0,0,0.9,0,0,10.96,0,19.19,0,5.04,813.23,0,0,1.95,0,4.19,0,0,0,0,64.75,0,0,0,0,0
108-118,0,0,0,3.76,0,3.04,33.06,0,0,7.84,14.29,0.64,0,0,0,0,0,0,1.02,9.39,0,0,1014.63,0,0,0,0,0,0,1.36,0,0,13.37,0.46,0,1.49,2.1,0
120,0,0,0,3.23,8.54,0,27.77,1.72,0,0,5.17,0,0,0,0,0,0,0,0,0,0,2.7,1013.11,0,0,0,0,0,0,0,0,0,15.53,0,0,0,0,0
