stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,visceral_smooth_muscle
  3-4,92.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.28,17.45,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.85,0,0,0,0,0,0,0,0,0,0
 10-12,7.57,0,5.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.97,3.44,0,0,46.74,0,37.87,0,13.33,0,0
 14-21,0,0,0,6.97,13.09,0,0,0,103.82,0,0,0,0,0,0,7.26,0,43.43,0,1.74,5.52,0.82,0,67.31,0,227.79,0,0
 24-34,0,0.61,0,2.4,0,7.25,0,1.5,117.35,0.85,0,0,0,0.68,0,4.15,0.6,105.46,0,33.9,12.59,0,0,49.95,2.21,255.89,0,0
 36-46,0,0,0,0.66,0,3.52,0,0,76.87,1.1,0.65,0,0,0,0,0,0,153.85,0,36.69,11.12,0,0,14.38,0,242.05,0,0
 48-58,0,0,0,3.68,0,13.61,0,0,58.66,0.41,0,0,0,1.22,0,1.5,0,119.71,0,15.27,22.2,0,0,17.12,0,173.2,0,0
 60-70,0,0,0,0,0,103.28,0,0,75.94,0.62,0,0,0,1.21,0,1.14,0,155.94,0,19.66,46.22,0,0,3.89,0,44.98,0,0
 72-82,0,0.69,0,0,0,180.4,0,0,55.97,4.91,0,0,0,3.6,0,6.17,0,134.44,0,23.59,74.99,0,0,2.08,0,32.25,0,0
 84-94,0,5.31,0.59,0.91,0,171.26,0,0,48.09,1.68,0,0.83,0,0.64,0,0,0,74.03,0,6.3,91.6,0,0,10.06,0,26.11,0,0.77
 96-106,0,2.57,2.19,0,0,113.45,0,0,41.94,0,0,0.89,0,1.6,0,0.77,0,69.98,0,20.33,94.69,0,0,2.58,0,18.06,2.04,0
108-118,0,0.71,1.83,0.47,0,117.49,0.66,0,42.57,0,0,0,0,1.72,0.7,1.87,0,115.51,0,22.58,65.55,0,0,6.16,0,6.31,1.6,0.92
120,0,3.64,0,0,0,154.54,0,0,32.89,0,0,0,2.67,6.85,0,0,0,183.69,0,18.45,72.81,0,0,4.05,0,7.34,0,0
