stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,68.88,1020.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.07,0,0,0,0,0,0
  5-6,21.53,475.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,6.79,0,0,0,0,0,0,0,0,0,0,0,0,0,148.04,4.03,0,0,19.05,0,0,0,0,0,0,0
 10-12,0,3.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.27,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.38,61.01,0,0,0,0,0,0,0,0,0,0,1.99,0,1.98,0,0,0,3.14,0,0,1.42,0.83,2.03,0.9,0.84,0.93,0,0,0
 24-34,0,0,1.87,16.38,0,0,1.51,0,1.3,0,0,0.66,0,1.94,13.68,0,8.75,0,0,5.71,6.37,0,1.48,32.08,0,5.72,0,0.72,3.67,0,0,0
 36-46,0,0,0,11.16,0,0,0,0,0.59,0.63,0,0,0,0,5.4,0,4.71,0,0,0,12.04,0,0,33.2,0,2.46,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,2.16,0.86,0,0,0,0,2.76,0,0.9,0,4.94,0,0,0.78,18,0,0.37,39.17,0,0,0,0,1.31,0,0,0
 60-70,0,0,0.89,0,0,0,4.35,0,1.4,0.75,0,0,17.49,0,6.48,0,24.93,0,0,0,16.87,0,0,72.05,0,3.52,0,0,0,0,1.24,0.64
 72-82,0,0,0.5,0,0.91,0,0,0,0,0,0,1.33,1.68,2.73,10.25,0,13.44,0.74,0,0.81,17.34,0,0,143.63,0,0,0,0,0,0.63,0,0
 84-94,0,0,0,0,0,0,2.54,0,0.55,0,0,0,6,0.74,18.19,0,16.52,0,0,0.87,2.56,0,0,240.77,0,0,0,0,0,0.84,0,0
 96-106,0,0,0,0,0,0,5.79,0,0,1.02,1.49,0,0,0.9,26.13,1.06,25.26,0,2.39,2.94,13.11,0,2.21,339.57,0,0,0,0,0,0,0,0
108-118,0,0,0.78,1.01,0,0,8.96,0,0,1.42,1.38,0,0,1.86,25.18,0,18.53,0,0,1.75,16.4,0,0,271.15,0,2.7,0,0,0,0,0,0
120,0,0,0,9.58,0,14.33,0,0,0,0,1.62,0,0,0,10.5,0,0,0,0,0,17.91,0,12.85,275.56,0,0,0,0,0,0,0,0
