stage,endocrine_pancreas,epidermis,eye,gut,lateral_line,otic
 48-58,0,0,0,0,0,0.64
 60-70,0,2.05,0,0,0,0
 72-82,0,0,0,0,0,0.69
 84-94,0,0,1.59,0,0.59,9.87
 96-106,0,0,0,2.41,0.61,5.76
108-118,0.91,0,0,0,0.61,3.09
120,3.99,0,0,0,0,4.68
