stage,endocrine_pancreas,epidermis,eye,glial,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal_cord
 14-21,0,0,0,0,0,0,1.14,0.87,1.77,0,0,0,1.15
 24-34,0,0,0.79,0,0,0,0,0,7.21,0,0,0,0.61
 36-46,0,0,0,0.96,0,0,0,0,3.08,0,0,0,3.13
 48-58,0,0,2.2,0,0,0,0,0,7.97,0,0,0,0
 60-70,0,0,3.71,0,0,0,5.23,0,2.48,0,0,0,1.27
 72-82,0,0,0,0.52,0,2.04,2.42,0,6.17,0,0,0,0
 84-94,0,0,1.24,0,0,0,2.28,0,2.1,1.22,0,0,0
 96-106,2.46,0.75,1.24,3.5,0,0,0,0,11.75,0,0,1.29,0
108-118,0,0.85,0,2.03,0.86,0.48,0,0,4.66,0,0.87,0,0
120,0,0,5.68,0,0,0,4.99,0,2.73,0,0,0,0
