stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,290.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.79,0,0,0,0,0,0,0,0,0,0
  5-6,28.95,451.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.52,0,11.36,0,0,0,4.17,0,0,0,0,0,16.26,0,0,0,0,0,0,0,0,0,0,0,54.22,0,0,0,3.79,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11,0,0,0,0,0,0,0,0,0,0,0,51.38,7.29,0,0,33.05,0,5.47,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.07,0,9.99,1.68,0,0,0,1,0,0,0.82,1.11,0,0,1.58,0,0,149.04,0,1.62,0,0,2.29,2.12,1.79,1.44,0,0,28.37,0,1.36,0.82,1.09,4.71,0,0,1.8,0,0
 24-34,0,0,3.16,2.48,26.06,0.66,0,4.67,0,2.88,0,1.35,0,3.62,0.86,1.51,6.82,0.64,6.48,36.06,0,6.1,1.03,0,8.74,25.66,7.94,15.87,4.28,0,114.19,0,0,3.95,3.61,4.39,0,0,11.17,0,0.79
 36-46,0,0,0,0,4.4,0.73,0,5.9,1.33,1.4,4.16,2.52,0,0,0.93,3.64,18,0,3.47,0,8.2,25.22,1.97,0,3.81,70.59,5.85,11.96,2.57,0,80.08,0,0,2.11,0.6,11.6,0,0,6.9,0,6.55
 48-58,0,0,0.44,0,10.79,0,0,11.98,1.05,1.16,1.23,9.78,0.91,0,1.24,10.9,1.22,0,2.22,4.11,0.59,29.6,2.6,0,5.18,70.13,11.49,8.21,6.85,0,69.19,0,0,0,0,6.71,0,0,5.16,0,25.76
 60-70,0,0,0,0,20.41,0,0,38.27,0.66,0.64,1.71,7.73,15.84,0,0,15.43,1.83,4.93,5.01,10.83,4.77,51.78,2.65,0.84,2.61,65.12,8.12,4.21,2.67,0,73.5,0,0,0,0,2.11,0.61,0,5.57,0,16.7
 72-82,0,0,3.74,0,28,5.98,0,73.11,0.5,1.73,3.94,27.45,25.52,0,1.72,11.93,1.24,4.91,5.5,0.62,1.02,106.95,7.09,3.24,5.32,83.56,1.93,9.07,4.67,0,54.17,0,0,5.03,0,3.3,14.97,1.75,17.64,0,11.3
 84-94,0,0,2.19,0,50.55,7.87,0,36.34,1,1.89,5.98,9.48,52.5,0,1.06,14.73,7.07,2.21,6,3.06,2.27,76.24,11.77,0,5.51,55.3,2.6,4.5,9.92,0,82.95,0,0,2.8,0,3.6,40.11,2.71,21.97,0,5.35
 96-106,0,0,1.05,0,64.51,18.3,2.51,36.68,0.95,1.01,0.92,17.57,113.77,0,0,17.7,6.06,2.09,8.78,5.43,4.32,51.73,1.15,0.69,2.77,80.15,0,3.77,7.38,0,56.24,0,0,2.59,0,13.1,72.03,3.93,19.19,3.27,19.08
108-118,0,0,1.71,1.22,57.81,8.74,6.29,54.99,0,2.94,6.93,30.21,148.23,0,0,9.87,8.83,4.32,4.49,7.05,0.82,52.95,8.98,1.89,3.87,106.07,1.03,7.3,3.59,0,64.56,0,0,3.77,0,2.15,76.77,1.11,17.99,0,6.16
120,0,0,0,0,51.06,0,0,57.64,0,0,3.2,48.79,138.1,0,0,25.89,5.86,0,7.2,7.69,0,58.88,6.56,9.46,10.22,252.51,1.25,1.61,15.98,0,49.58,0,0,1.58,0,1.53,43.26,0,10.26,0,0
