stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,5.9,99.16,32.76,0,87.13,0,0,0,9.57,1.65,0,0,0,2.07,0.87,0,0,1.01,51.56,0,0,30.1,678.66,4.56,1.04,4.92,16.14,0,12.08,0.9,138.36,1.87,0.87,168.78,114.7,0,0,3.72,0,1.35
 24-34,0.66,6.55,25.87,7.89,0,155.43,0,2.01,0,10.7,0.68,0.76,0,7.71,13.12,0.83,12.17,11.3,6.21,70.97,0.68,4.09,28.09,737.3,0.75,7.53,23.25,0,0,24.25,0,0.71,8.46,2.84,35.35,85.02,0,0,11.04,0,9.15
 36-46,0.73,0,11.29,1.79,0,100.67,0.79,0.93,1.22,11.57,1.57,0,0.56,0.98,0.63,3.88,3.61,1.5,6.32,41.56,0,0,19.61,625.03,10.6,1.78,9.56,0,0,12.88,0,4.72,6.33,1.13,0.84,59.05,0,0,9.01,0,1.45
 48-58,0,0,16.78,0.87,0,188.45,1.37,0.93,0.72,38.69,4.95,0.73,7.98,3.23,7.3,0.45,5.2,4.37,3.29,50.13,2.66,2.92,16.09,450.08,0,2.33,6.39,0,0,7.03,0,0,0.86,0.53,0,42.68,0,0,11.59,0,3.9
 60-70,5.5,0,17.01,1.48,0,288.98,2.2,0.96,2.28,54.32,4.41,0,6.97,7.67,0.58,2.01,2.8,8.43,8.23,88.98,1.79,4.03,22.08,443.03,0.58,13.75,5.92,0,0,9.49,0,0,3.41,0.62,0,27.39,0,6.58,2.33,0,1.48
 72-82,2.35,0,7.55,11.53,0.58,200.22,4.5,0,5.51,33.88,16.87,0,0,11.59,3.5,10.95,3.91,7.65,0,91.2,1.67,4.34,18.78,350.07,4.85,0,5.93,0,0,17.11,0,0,1.12,5.06,0,29.31,2.98,1.59,6.22,2.6,0
 84-94,1.44,0,19.41,7.99,3.42,135.09,0.56,0,5.15,30.42,12.45,0,0.7,16.97,17.66,4.59,2.63,1.61,3.68,62.8,1.32,3.44,26.35,191.68,2.58,4.45,20.57,0,0,30.56,0,0,4.38,0.73,0,23.15,3.56,0.84,13.37,0,0
 96-106,0,1.03,12.13,8.93,0.8,124.94,0.62,1.77,2.01,29.99,4.33,0,0,13.54,7.21,2.36,7.2,5.23,0,95.9,0,0.56,30.01,163.43,0.96,2.59,9.45,0,2.33,52.01,0,0,3.38,1.11,0,19.42,2.76,0.76,14.4,3.72,2.94
108-118,0,0,36.05,32.25,5.08,132.64,1.73,1.43,3.98,58.86,5.79,0,4.84,5.7,9.96,5.29,9.96,1.03,1.92,117.71,10.27,3.83,44.78,294.99,0,0.89,14.24,0,2.86,37.16,0,0,1.36,2.67,0,20.8,0.93,1.16,14.26,4.01,3.76
120,0,0,83.92,39.46,2.85,155.8,7.2,8.52,14.08,68.08,23.42,0,0,21.41,12.12,36.86,5.99,9.5,1.55,87.8,9.06,17.95,43.47,533.95,8.62,3.22,21.64,0,0,57.28,0,0,0,3.03,0,27.44,0,0,37.37,0,3.85
