stage,eye,immune,neural,otic,periderm,vasculature
 72-82,0,0,1.78,0,0,0
 84-94,0,0,3.1,0.79,0,1.07
 96-106,8.67,0,0,0,0,0.61
108-118,0.55,1.31,0,0,0,0.62
120,0,3.62,0,0,9.05,0
