stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,2980.56,50161.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2260.02,0,0,0,0,0,0,0,0,0,0
  5-6,2859.51,33175.52,0,64.41,0,0,0,0,0,0,0,65.85,0,0,0,0,0,0,0,0,0,1202.09,57.31,0,0,242.98,0,929.6,0,0,0,0,0,0,0,0,0,0
  7-9,226.3,259.88,0,339.99,0,8.92,549.42,0,0,0,0,222.74,0,0,0,0,0,0,0,0,0,7260.85,210.81,0,0,1951.48,0,25.63,516.03,0,0,0,0,0,0,0,0,0
 10-12,0,85.14,0,117.87,0,22.88,254.42,0,0,0,0,44.75,0,0,0,0,0,0,0,0,3.87,1584.28,56.56,0,0,418.79,0,0,403.25,4.61,35.33,0,0,0,0,0,0,0
 14-21,0,0,0,4.32,139.72,6.67,6.91,0,0,0,18.65,2.09,13.91,0,0,0.97,0,14.45,0,0,14.19,240.84,15.36,10.63,10.49,0.93,0,14.53,56.89,10.2,0.84,8.74,23.19,53.65,0,0,1,0
 24-34,0,0,0.75,0,8.66,2.41,5.1,0,0,4.5,0.89,3.42,1.32,0,1.27,0,0,6.66,0,0,0,238.82,0,6.93,7.54,0,0,10.18,6.87,0,0,1.16,0,30.08,0,0,0,0
 36-46,0,0,0,0,2.86,1.1,11.71,12,0,9.21,0,0.59,6.9,0,0,0,0,5.99,0,0,0,294.02,1.28,24.07,8.55,0,2.85,1.89,11.47,0,0,0,0,42.58,0,0,0,0
 48-58,0,0,0,0,7.17,0,23.32,0,0.4,12.99,0,3.02,0,0,0,0,0,5.96,0.92,0,0,164.98,0.44,14.31,5.68,0,0,1.77,1.87,0,0,0,0,22.66,0,0,0,0
 60-70,0,0,0,0,14.41,0,51.96,1.34,0.9,6.16,0.57,27.28,1.79,0,0,0,4.52,2.16,1.53,0.89,0,159.11,0,21.11,10.44,0,0,0,1.07,0,0,0,0,16.63,0,0,0,0
 72-82,0,0,0,0,5.13,0,43.52,0,0.85,6.01,0,5.44,0,0,0,0,0,9.41,0,0,0.51,98.43,0,9.85,1.61,0,0,0.52,1.13,0,0,0,0,6.58,0,0,0,0
 84-94,0,0,1.16,0,1.33,0,31.42,0,1.39,7.6,0,8.09,1.01,4.74,6.48,0,0,13.82,0,0,1.68,70.45,0,17.41,2.33,0,0,0.92,0,0,0,0,0,6.82,0,0,0,2.81
 96-106,0,0,0,0,4.42,0,33.5,0,0,8.17,0.59,1.06,2.77,0,0,0,0,3.42,0,0,0,39.41,0,33.41,6.78,0,0,0,7.19,0,0,0,0,4.32,1.07,1.15,0,0
108-118,0,0,0,3.59,0.54,3.73,8.77,0,0.51,4.47,3.51,0,3.74,0,1.39,1.26,0,7.28,0,0,0.61,60.14,0,24.43,0,0,0,1.78,5.94,0,0,0,0,5.39,3.6,0,1.05,0
120,0,0,0,0,1.38,0,3.6,0,1.69,0,1.88,0,1.25,0,0,0,0,12.95,0,0,0,60.43,0,60,3.55,0,0,0,6.13,0,0,0,0,7.63,0,0,0,0
