stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,27.23,626.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.66,0,0,0,0,0,0,0,0
  5-6,35.26,218.16,0,0,0,0,0,0,0,0,0,0,7.54,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,35.69,4.19,0,0,12.21,0,6.2,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,48.93,0,0,0,30.99,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.81,2.24,0,0,0,0,0,0,0,1.75,13.87,0,0,0,0,0,0,0.91,0,4.55,3.73,0,0,0
 24-34,0,0,1.44,0,0.96,0,0,0,0,5.32,0,0,21.76,0.76,0,0,0,0,0,0,0.65,0,4.27,0.63,0,4.41
 36-46,0,0,0.77,0,0,0,0,0,33.9,0.96,0,0,8.39,0,0,0,0,0,0,0,0,0,3.78,0,0,13.65
 48-58,0,0,1.04,0,0,0,0,0,12.89,2.25,0.52,0,7.81,0,0,0,0,0,0,0,0,0,1.06,0,0,13.47
 60-70,0,0,0,0,14.38,0,2.03,0,12.7,2.64,0,0,26.08,0,0,0.94,0,0,0,0,0,0,5.01,0,0,7.62
 72-82,0,0,0,0,35.65,0.66,0,0,7.22,3.27,0,1.76,20.21,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.88,0,30.29,0,3.45,0,4.24,5.54,0,0,18.95,0,0,0,0,0,0,0,0,0,0,0,1.54,0
 96-106,0,0,0,0,33.59,0,0.87,0,3.62,5.77,0,0.91,38.58,0,0.89,1.42,0,2.31,0,0,0,0,0,0,0,0
108-118,0,0,2.01,0,32.94,0,2.74,0,11.47,2.64,0,0,32.99,0,0,1.52,0,0,0,0,0,0,6.05,0,0,2.49
120,0,0,10.07,0,14.77,0,0,1.48,0,0,0,0,33.98,0,0,0,0,0,0,0,0,0,0,0,0,0
