stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,47.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.56,0,0,0,0,0,0
 14-21,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,1.16,0,1.06,6.9,0,0,0.84,0,18.32,3.01,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.79,0,0,0,0,0,34.58,0,0,11.46,0,0,0,0,62.69,4.4,1.91,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.13,0.89,0,23.77,0,2.11,0,0,77.97,5.64,0,0,0
 48-58,0,0,0,0,0,2.3,2.36,0,3.36,0,0,4.27,0,0,10.82,3.9,0,22.67,0,0,0,9.82,46.91,4.16,0,0,0
 60-70,0,0,0,0,0,5.04,0,1.35,14.02,0,0,0,1.16,0,25.88,9.82,0,14.85,0,0,0,0,57.87,13.39,0,0,0
 72-82,0,0.5,0,0,29.08,6.07,0,0,3.57,0,0,0,0,0,26.1,3.1,1.65,22.17,0,0,0,0,89.34,2.07,5,0,0
 84-94,0,0,0,0,55.47,8.44,0,0,0,0,0,0,0,0,37.41,0.77,0.82,29.6,0.7,1.27,0,0.98,179.73,5.28,0,0.98,0
 96-106,0,0,1.71,2.41,156.43,21.44,0,0,8.61,0,2.78,0,0.72,1.3,73.87,6.15,0,60.98,0,0,0,2.09,156.24,0,0,0,3.33
108-118,0,0,4.78,5.11,404.95,25.92,0,0.94,0,2.9,0,0,1.91,0.42,124.75,13.7,0,18.77,1.48,0,0,1.7,161.81,1.46,0.49,0.95,0
120,0,0,0,0,143.18,0,0,0,0,2.48,0,3.77,0,0,73.65,2.84,0,54.09,0,0,0,1.42,77.91,0,0,0,0
