stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,55.25,610.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,0,0,0,0,0,0,0,0
  5-6,24.45,290.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,18.87,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.17,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,22.18,0,0,0,0,0,43.73,0,0,0,0,0,0,0,0,0,0,0,72.35,8.87,0,0,21.63,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.86,0,0,0,0,0,1.17,0,5.57,0,0,0,0,0,0,0,8.7,0,0,11.27,8.31,0,6.18,2.93,0,0,11.35,0.83,3.1,0.81,1.84,122.81,0,0,0,0,0
 24-34,0,0,2.75,0.59,6.42,0,0.61,0,0,0,4.76,0,0,0,0,0,0,0,0,3.78,2.9,0,0,2.93,25.91,7.41,11.86,3.81,0,0,5.72,0,3.37,9.62,0.68,98.32,0,0,6.04,0,0
 36-46,0,0,1.55,0,1.26,0,2.7,4.43,0,0,3.3,0,0,0,0,0,0,1.04,0,1.99,2.99,0.94,0,2.8,15.24,33.04,20.08,0.65,0,0,3.88,0,7.09,8.07,0,76.89,0,0,0,0,0.56
 48-58,0,0,0,0,10.33,0,11.6,3.21,0,0,25.33,0,0,0,0,0,5.18,0,0,0.56,37.53,0,0,1.96,80.37,44.22,11.57,14.53,0,0,9.52,0,0.61,18.23,0,83.17,0,0,0,0,0
 60-70,0,0,0,0,8.1,0,14.46,2.16,3.85,8.4,74.95,0,0,0,0,0.71,0,1.33,0,17.55,134.95,0,0,0,101.65,12.13,24.76,8.25,0,0,7.5,0,7.85,3.92,0,71.38,0,0,0,0,0
 72-82,0,0,4.71,0,6,0,13.3,6.28,0.68,2.06,117.01,2.22,0,0,0.54,0.52,0,0,0.98,0,157.08,0,0,2.24,74.95,30.12,9.4,2.17,0,0,1.65,0,2.61,0.57,0,77.72,0.87,4.35,3.36,2.39,2.32
 84-94,0,0,7.07,0.64,30.26,0,43,1.77,0.92,0,121.28,0.81,0,0,3.31,0,0,2.39,0,0,181.83,0,0,1.23,84.68,37.56,21.45,7.75,0,0,18.14,0,3.49,2.53,0,27.73,3.81,1.69,0,1.67,6.73
 96-106,0,0,2.75,1.61,49.91,0,33.66,8.43,2.22,0,147.34,7.94,0,0,1.61,0,0,3.83,0,0,136.66,0,1.85,9.18,55.4,26.87,10.44,8.53,0,0,15.56,0,1.33,2.56,0,53.9,5.69,0,14.75,9.02,2.09
108-118,0,0,1.14,0,58.41,4.65,26.12,13.9,2.01,0,164.22,11.04,0,1.31,10.63,0.44,0,1.02,0,0,165.93,0,0,4.39,51.11,48.36,9.84,6.72,0,0.89,17.55,0,4.53,1.46,0,35.36,11.28,0.57,3.72,4.07,9.71
120,0,0,2.94,0,40.64,0,19.59,6.08,3.97,14.72,233.35,0,0,0,1.14,3.26,0,0,6.32,0,432.65,0,0,2.15,158.76,35.19,3.58,11.82,0,0,10.86,0,0,5.96,0,53.59,12.11,0,7.95,20.44,4.77
