stage,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,1.03,0,0,0,0,17.04,3.56,0,0,0,0,0
 24-34,0.74,0,1.67,17.16,0,0,0,0,0,0,0,0,0,0,0,8.48,22.65,0.74,0,0,0,0,0.69,16.55,9.66,3.28,0,0,0,0
 36-46,0.69,0,11.55,175.36,0,2.3,0,0,0,0,0,0,1.29,4.02,0,22.25,44.9,0,1.46,0,0,0.72,0,72.23,0,4.4,0,0,0,0
 48-58,0,0,16.12,186.42,0.64,10.39,0.69,0.59,2.48,2.21,0,0,7.08,7.53,0,20.38,82.03,0,0,0,0,7.14,0,58.59,0,13.8,0,5.46,0,0
 60-70,7.41,0,24.47,117.57,0.83,0.92,0,0,5.47,0,0,0,0,15.97,0,6.81,90.24,0,0,0,0,13.8,0,37.9,0,2.3,0,5.09,0,0
 72-82,0,0,19.16,30.49,0,5.63,0,0,0,0,1.68,0,0,8.83,0,5.36,75.87,0,3.1,0,0,6.14,0,16.22,0,14.33,1.49,0,0.56,11.65
 84-94,3.16,8.63,24.27,49.39,0,6.55,0,0,1.82,6.24,0,0,0,6.27,2.92,5.19,25.37,0,0,0,0,4.5,0,21.71,0,7.01,0,0,2.19,2.04
 96-106,0.71,4.88,44.67,69.45,0,10.38,0,0,1.36,0,0,8.52,0,7.82,0,9.32,64.86,0,0,0,1.2,0,0,16.51,0,0,0,1.8,0.69,0
108-118,0.44,0,18.37,17.87,0,3.81,0,0,0,0,0,1.95,0.64,11.79,0,8.49,18.01,0,0,1.16,0,1.98,0.75,14.88,0,0.42,0,0,1.44,0
120,0,0,6.07,11.06,0,0,0,0,0,0,0,0,0,2.11,0,9.67,17.27,0,0,0,0,0,0,5.62,0,0,0,0,4.69,0
