stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,heart,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,10.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.32,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.54,0,0,0,0,0,0,0,0,0,27.32,0,0,0,25.2,0,0,0,0,0,0,0,0,0
 10-12,0,5.22,0,0,0,10.14,0,0,0,0,0,0,0,0,0,48.68,0,0,0,31.49,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.75,6.25,0,0,0,0,0,0,0,0,0,0,8.54,11.93,0,0,0,0,0,0,0.9,1.23,5.47,32.48,0,0,0
 24-34,0,0,1.31,0.9,0,0,0,0.79,1.91,0,2.33,9.12,0,0,5.59,44.15,0,0,1.54,0,0,0,0,0,1.29,36.69,0,4.42,0
 36-46,0,0,4.28,0,0,0.75,1.81,0,13.16,0,0,6.14,0,0,0.66,50.97,0.85,0,14.22,0,0,0,0,0,0,33.94,0.62,0.58,0
 48-58,0,0,0.44,0,0,8.85,0.53,0,27.77,0,0.61,10.98,0,1.11,1.98,56.79,0,0,18.18,0,0,0.59,0,0,0,57.32,0,1.21,0
 60-70,0,0,0,0,0,21.25,0,0,39.68,1.29,1.59,8,0,0,0.75,55.11,0,0,5.44,0,0,0,0,0,0,56.54,0,3.12,2.9
 72-82,0,0,0,1.08,0,27.16,0,0,27.09,0,2.54,11.3,0.92,1.01,6.04,84.02,0,0,17.25,0,7.1,0,0,0,0,38.12,0.87,12.1,3.63
 84-94,0,0,4.82,0,0,30.86,0,1.55,41.71,0,2.78,17.68,0,4.73,1.23,66.34,0,1.06,19.68,0,1.66,0,0,0,0,42.07,4.61,32.74,2.71
 96-106,0,0,5.02,0,5.91,23.06,0,0,43.94,0,14.04,15.01,0,0,4.82,88.9,0,0.56,35.65,0,3.62,0,0,0,0,38.61,0,15.79,3.04
108-118,0,0,0,0,0.5,34.28,0.78,0.59,29.1,0,5.76,30.88,0,4.3,4.48,75.7,0,0,18.96,0,2.8,0,0,0,0,35.13,0,8.88,0.68
120,0,0,0,0,0,28.54,0,0,20.36,0,2.6,20.48,1.16,8.5,0,182.96,0,0,28.48,0,9.62,0,0,0,0,47.74,0,2.98,7.14
