stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,127.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.19,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,22.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.3,11.13,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.1,0,27.21,0,4.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.75,0,0,0,19.3,0,0,0,14.53,0,0,0,0,0,0,0,0
 14-21,0,0,4.14,0,10.8,1.14,0,6.47,0,0,0,2.32,0,1.41,0,0,0,0,0,3.24,0,0,0,69.41,0,1.44,0,0.95,0,0.9,4.3,0,1.34,0.81,52.37,0,0,0,0,0
 24-34,0,0,3.12,0,3.68,0,0,6.22,0,0.82,0.64,5.81,0,0,0.67,0.62,0,0,0,2.21,0,0,3.87,224.14,0.78,8.9,0,0,9.29,0,0,1.38,0,2.34,72.41,0,0,4.04,0,0.61
 36-46,0,0,1.71,0,0.73,0,0,15,0,0,0,10.27,0,0,0,0,0,0.57,0,2.95,0.63,0,0,356.6,0,8,0,0,0.83,0.81,0,0,0,0,118.05,0,0,0,0,0
 48-58,0,0,0.81,0,4.99,0,0,56.21,0.51,0,0,16.27,0,0,5.15,0,0,0,0.86,9.65,1.76,0,1.05,510.68,0,3.34,1.96,0,0,0,0,0,3.14,0,151.35,0,0,1.99,0,1.76
 60-70,0,0,0,0,0,0,0,157.42,0,0,0,29.58,0,0,0.58,0,0,0,1.83,14.08,0,5.57,0,766.54,0,2.29,0.63,0,1.13,0,0,0,0,0,176.08,0,0,3.16,0,0
 72-82,0,0,0.98,0,3.78,1.94,0,221.68,3.39,0,0,38.79,1.02,0,0,0.56,1.22,14.9,0,35.84,5.11,0,1.47,912.59,0,8.65,4.68,0,0,0,0,0,0,0,138.06,0,0.75,6.85,0.71,0
 84-94,0,0,0,0,3.8,7.09,0,134.29,0,0,0,30.25,0,0,0,0,1.25,7.24,0,18.28,0,0.66,0.66,581.5,0.63,0.56,5.24,0,0.67,0,0,0,0,0,106.54,0,0,0,0,0
 96-106,0,0,0.83,0,9.57,4.01,0,143.71,0,0,0,19.91,1.67,0,0,0,0,31.48,0,8.92,1.83,1.16,0,579.62,0,9.87,6.03,0,1.77,0,0,0,0,0,33.09,0,4.6,10.51,1.85,0
108-118,0,0,1.97,0,7.73,1.41,0.78,143.34,0,0,0,33.35,0,0,0,0.89,2.63,28.16,0,23.89,0,0,0.57,739.65,0,4.39,3.44,0,0.76,0.42,0,0.58,0,0,33.63,0.89,0,6,0,0
120,0,0,0,0,6.34,0,0,142.55,0,0,0,30.26,0,0,1.88,0,0,34.16,0,21.08,0,3.7,1.2,1228.31,0,0,2.59,0,0,0,0,0,0,0,36.22,0,0,0,0,0
