stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.35,5.59,0,0,5.94,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,8.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.13,0,0,0,7.71,0,0,0,0,5.98,0,0,0,0,0,0,0,0
 14-21,13.75,0,2.5,2.37,0,1.14,0,0,0,0,0,0,0,0,0,0,65.72,0,80.69,0,0,29.38,8.85,0,1.1,0,2.97,0,0,0,8.87,0,10.41,74.26,7.9,0,0,0,0,0
 24-34,7.29,0,0.69,0,0,19.08,0,0,0,1.02,0,0,0,0,0,0,116.95,0,315.81,0,0,36.12,44.73,0,1.03,0,0,0,4.13,0,0,0,4.03,11.45,3.45,0,0,8.36,0,0
 36-46,14.78,0,0,0,0,55.71,0.64,0,0,0,0,0,12.44,0,0,0,62.96,0,321.03,0,0,36.86,45.51,0,0,0,0,0,2.12,1.17,0,0,0,0,5.4,0,0,14.78,0,0
 48-58,12.94,0,0,0,0,68.08,0,0,0,10.07,0,0,17.6,0,0,0,41.67,0.41,331.15,0,0.79,22.46,99.12,0,0.87,0,0,0,10.6,0,0,0,0,0,0.93,0,0.61,7.11,0,5.03
 60-70,7.94,0,0,0,0,270.32,0,0,0,14.23,1.57,4,30.88,0,0,0,59.48,0,721.69,0,4.33,13.99,112.3,0,0,0,0,6.53,0.72,0,0,0,0,0,8.15,0,0,8.95,0,7.41
 72-82,61.76,0,6.47,1.04,0,324.65,0,0,3.99,10.68,11.52,0,45.28,0,0,0,127.06,0,1102.37,1.05,0,8.47,155.24,0,0,0,0,9.66,4.9,0,0,0,0,0,4.39,11.08,0,12.14,0,11.81
 84-94,50.11,0,0,0,0,276.76,0,0,0,8.34,17.28,0,35.31,0,0,0,244.72,0,881.8,0,3.09,12.08,134.43,0,0.77,0.7,0,3.75,0,0,0,0,0,0,4.16,0,6.55,4.11,0,1.08
 96-106,94.84,0,21.98,19.49,0,207.63,0,8.36,0,32.81,22.25,0,42.97,1.68,0.89,0,656.7,0.57,1207.13,0,1.51,6.73,202.09,0,5.69,0.63,0,40.57,4.32,0,0,0,0,0,11.06,0,0,6.43,3.72,10.36
108-118,63.79,1.47,2.58,4.32,0.43,163.03,0,0,0,29.31,29.4,0,24.75,0,0,0.51,1304.61,0,1103.35,0,2.9,1.67,220.4,0,1.17,2.92,0,27.87,6.44,0,0,0,0.51,0,0,1.2,1.16,10.26,25.46,8.41
120,138.38,0,5.21,0,3.69,699.96,2.34,0,0,62.47,35.8,0,8.6,1.65,0,0,745.84,0,1801.05,0,0,32.81,413.62,1.62,0,0,0,103.36,2.68,0,0,0,0,0,2.5,0,0,23.55,130.57,0
