stage,epidermis,mesenchyme,neural,periderm
 14-21,0,1.66,1.42,0
 24-34,0,0,1.04,0
 36-46,0,0.61,3.24,0
 60-70,0,1,0,0
108-118,0.57,0,0,0
120,0,0,4.14,1.47
