stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,1001.41,16731.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414.97,0,0,0,0,0,0,0,0,0,0
  5-6,1919.29,29938.11,0,63.53,0,0,0,0,0,0,0,0,0,63.31,0,0,0,0,0,0,0,0,0,0,0,823.82,61,0,0,212.69,0,193.89,0,0,0,0,0,0,0,0,0,0
  7-9,238.68,439.71,0,576.24,0,5.98,0,1098.51,0,0,0,0,0,265.19,0,0,0,0,0,0,0,0,0,0,0,11989.31,219.78,0,0,3761.63,0,14.8,80.96,0,23.1,0,0,0,0,0,0,0
 10-12,0,179.11,0,229.69,0,4.74,0,480.63,0,0,0,0,0,11.72,0,0,0,0,0,0,0,0,0,0,0,4386.94,110.07,0,0,1574.71,0,0,41.68,14.59,203.81,10.82,0,0,0,0,0,0
 14-21,0,0,0,14.18,129.88,24.65,0,52.26,0,0,0,11.88,10.9,0,2.46,0,0,0,0,0,0,69.99,0,0,39.57,885.83,9.14,2.71,21.92,32.58,0,6.11,0.9,110.94,10.68,71.66,241.48,0,0,2.26,0,0.84
 24-34,0,0,0,5.21,40.08,0,0,105.41,0,0.6,0,35.12,2.26,0,2.81,0.98,0.68,11.28,3,2.74,0.62,87.83,0,0,29.53,1070.71,1.23,7.95,16.32,0,0,10.3,0,0,0,7.76,240.95,0,0,35.82,0,4.69
 36-46,0,0,0,0.56,11.97,0,0,165.52,0,0,2.72,49.41,2.7,0,1.26,3.12,0,0,1.5,4.1,0,66.41,0,0,19.61,832.94,3.25,11.22,5.34,0,0,17.14,0,1.05,0.62,0,177.86,0,0,15.89,0,6.01
 48-58,0,0,0,0.4,25.8,0,0,273.56,0.39,1.59,1.46,85.8,0,0,1.05,3.58,0,5.42,0.39,1.26,2.25,89.73,0,3.79,13.22,495.95,0,1.78,7.46,0,0.39,4.84,0,0,0,0,138.21,0,0.4,5.57,0.5,2.15
 60-70,0,0,0.7,0,22.35,0,0,221.04,0,0,6.34,83.12,3.16,0,2.21,4.13,0,0,2.67,6.36,0.72,74.42,0,15.04,9.04,321.29,0,3.57,4.85,0,0,3.53,0,0,2.52,0,54.89,0,0.57,7.34,2.16,9.85
 72-82,0,0,0.5,0.56,13.55,1.76,0,151.64,0,1.26,1.67,58.52,4.22,0,2.26,3.15,1.39,1.92,3.14,0.5,0,90.25,0.73,3.96,8.5,283.88,0.66,3.51,3.21,0,0,1.23,0,0,0,0,22.26,0,4.96,8.68,4.22,6.07
 84-94,0,0,0.66,0,14.82,0,0.84,144.42,0,5.41,0,51.24,10.75,0,1.06,5.14,1.97,5.5,0.76,3.14,0,73.56,0,2.69,10.41,192.9,3.45,4.79,5.69,0,2.3,6.25,0,0,0.74,0,24.61,1.95,0.71,7.88,0.98,0
 96-106,0,0,2.94,0,16.65,0,0.97,100.29,0,1.32,3.11,40.05,6.9,0,3.9,5.15,5.46,0,5.31,3.85,0,58.71,0,0,5.18,198.54,1.36,3.84,8.43,0,4.73,5.01,0,0,0.82,0,23.11,0,1.96,2.92,6.69,6.55
108-118,0,0,0,0,14.22,4.72,0,120.72,1.32,2.18,1.1,57,3.15,0,0,5.42,2.76,3.44,0.87,1.4,0,58.71,0.54,2.57,11.5,216.94,2.26,2.31,2.09,0,2.76,2.91,0,0,1.31,0,7.97,0.63,1.3,8.25,2.79,0.92
120,0,0,0,0,14.78,3.35,0,128.43,0,4.62,0,54.32,1.41,0,0,11.11,0,0,0,1.45,0,30.84,0,2.35,4.15,274.91,1.08,0,13.26,0,2.67,8.38,0,0,0,0,32.73,0,0,1.66,3.86,6.16
