stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.92,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.25,0,0,11.86,0,0,0,0,0,0,0,0
 14-21,0,12.93,21.5,0,0,0,0,0,0,0,0,0,0.82,0,0,0,1.86,0,0,9.46,0,0,0,3.91,3.05,0,1.7,0,0,0,0
 24-34,0,3.43,157.84,0,4.09,0,0,0,1.94,0,0,0,6.25,0,0,0,1.95,0,2.26,59.65,0,0.66,0,4.4,0,0.65,4.02,0,0,0,0
 36-46,0,20.52,134.01,0,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,12.8,0.56,0,0,11.1,0,0,2.03,0,0,0,0
 48-58,0,4.92,217.94,0,6.94,0,0,1.03,0.64,0,0,0,0.38,0,0,0.66,1.96,1.76,0,14.06,0,0.37,0,8.22,0,0,3.98,0,0.47,0,0
 60-70,0,6.48,267.35,0,17.05,0,0,0,0,0.77,0,0.78,6.19,0,0,0.68,0.68,0,0,27.43,0,3.89,0,1.02,0,0,1.85,0,1.09,0,4.78
 72-82,0,1.71,464.96,0,24.49,0,3.56,0,3.88,0,0,0,0,0,0,0,11.98,0,0,19.3,0,0,0,9.04,0,0,0,0,0.66,0,0
 84-94,0,19.97,481.82,0,10.08,0.68,2.36,0,3.24,0.57,0,0.87,0.89,10.03,0.73,0,2.46,0,0,17.28,1.7,1.47,0,23.69,0,0,0,0.57,0.63,0,0
 96-106,0.91,8.54,660.28,0,23.15,0,1.12,0,0,1.5,1.33,0,0.64,0,0.59,0.62,5.87,0,0,28.63,0,1.7,0,18.66,0,0,0,3.91,3.8,0.66,5.14
108-118,0,5.36,377.83,0.43,6.69,0,1.51,0,3.98,1.53,0,0,0.45,0,0,0,5.28,1.38,0.8,16.08,0,0,0,12.8,0,0,0,0,0.72,0,0
120,0,16.37,323.5,0,8.9,0,1.16,0,3.12,8.12,0,0,0,1.74,2.19,0,9.79,0,0,13.98,1.32,4.36,0,13.65,0,0,0,5.48,0,0,0
