stage,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,11.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,43.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.31,0,0,0,0,4.3,0,0,0,0,0,0,0,11.31,6.66,15.72,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.22,0,22.46,0,0,0,0,0,0
 14-21,0,0,0,0,1.03,3.63,0,0,0,0,0,0,0,0,2.2,0,0,0.86,0,1.75,0,1.62,0
 24-34,0,0.7,0,0,1.51,0,0,0,1.21,0,0,0,3.81,0,2.17,0,0,0,0,0,0.98,0,6.92
 36-46,0,0,0,0,0.84,0,0,0,0,0,0,0,22,0,2.09,0,0,0,0,0,0,2.64,96.9
 48-58,0,0,0,0,0.59,0,0,0,0,0,0,0,15.5,0.41,0,0,0,0,0,0,0,0,119.94
 60-70,0,0,0,0,1.05,0,0,0,0,0,0,0,7.33,0,5.05,0,0,3.08,0,0,0,0,184.22
 72-82,0,0,0,0,5.05,0,0,6.75,0,4.18,0,2.04,8.93,1.13,5.41,0,0,0,3.49,0,0,0,67.04
 84-94,0,0,0,0,5.31,0,0,3.73,0,0,0,7.44,2.89,0.6,1.59,0,0,0,0.56,0,0,0,56.07
 96-106,0,0,0,1.07,10.87,0.57,0,13.76,0,0,0,3.67,0,2.62,11.54,0,0,0,0,0,0,0,23.72
108-118,0,0,0,0,1.63,0.52,0,29.24,0,0,0.7,7.68,0.48,1.56,8.16,0,0,0,0.5,0,0,0,27.93
120,0,0,1.97,0,0,0,0,13.9,0,0,0,8.18,0,0,0,0,0,5.31,1.26,0,0,0,0
