stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,25.61,70.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.4,330.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,16.17,22.02,0,31.7,0,0,0,92.8,0,0,0,0,20.28,0,0,0,0,0,0,0,0,0,0,0,785.09,32.99,0,0,256.3,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,59.24,0,4.44,0,0,0,0,0,0,3.05,0,0,0,0,0,0,0,0,0,0,0,162.41,8.45,0,0,53.57,0,0,0,0,6.67,0,0,4.47,0,0,0,0,0
 14-21,0,0,0,7.47,66.68,12.35,0,10.53,0.95,0,1.26,1.29,0,0,0,7.84,0,0,4.33,0,17.72,0,0,10.86,156.59,4.19,1,1.15,13.29,0,1.42,0,21.69,3.83,0,21.14,59.93,0,0,1.62,0,0
 24-34,0,0,2.06,4.61,18.1,0.7,0,28.07,1.37,0.62,4.96,0.96,0,0.62,1.56,1.01,0,0,13.69,0.65,46.75,1.49,0,13.91,418.22,4.37,6.35,2.34,0,0,5.52,0,0,0.94,4.81,5.97,115.75,0,0,14.76,0,0.81
 36-46,0,0,0,0,2.17,0,0,35.22,3.6,1.25,4.92,0.67,0,0,0,6.81,0,1.8,0.83,0,11.42,0,0,3.09,249.86,0.56,0,1.27,0,0,2.26,0,0,0.74,0.74,0,37.78,0,0,4.02,0,0
 48-58,0,0,0.4,0,2.62,0,0,39.09,0.81,0.49,21.07,1.57,0,0.55,0,0,0.46,1.59,1.98,6.4,28.12,0,0.79,2.97,243.35,0,2.95,0,0,0.47,10.7,0,0,0,0,0,43.43,0,0,1.6,0,0.4
 60-70,0,0,0,0,8.85,0,0,447.75,2.09,4.48,72.87,7.12,0,0.6,4.36,0.71,6.73,0,14.36,2.53,165.47,3.98,7.82,11.98,763.4,0,5.94,4.28,0,0.66,12.63,0,0,4.15,0,0,155.92,0.73,4.47,6.66,0,9.21
 72-82,0,0,1.36,2.52,12.51,0,2.26,243.77,1.72,1.56,43.18,37.61,0,2.49,0.54,0,0.64,4.04,7.8,0,96.19,0.56,3.55,4.56,310.22,1,10.11,3.33,0,0,5.26,3.31,0,0.49,0,0,16.6,2.93,2.8,8.07,4.11,5.59
 84-94,0,0,1.16,12.88,4.64,0,2.19,63.98,2.49,1.67,26.02,68.79,0,0,1.52,0,0.7,2.33,50.85,0,39.05,0,3.22,1.55,96.34,0,3.42,3.13,0,0,2.62,0,0,0.59,0,0,4.1,0,0,0,0,0
 96-106,0,0,4.02,17.97,8.86,5.8,2.62,171.71,0.57,0,24.46,130.07,0,1.6,2.82,0,0.63,2.42,48.46,0,44.44,0,0,7.94,167.86,1.01,9.31,5.73,0,0,8.79,0,0,1.46,0,0,13.21,0.81,0.89,1.44,1.26,9.55
108-118,0,0,3.22,28.41,4.49,3.28,19.58,77.27,3.34,1.23,28.89,134.78,0,0.83,5.76,3.66,6.27,1.9,89.38,2.36,63.69,0.71,5.5,5,181.46,0.59,2.99,2.77,0,6.93,4.32,0,0,0.42,0,0,6.15,1.08,0,7,3.07,7.84
120,0,0,11.35,3.57,0,0,11.26,0,3.34,0,4.08,119.97,0,0,0,0,4.61,0,44.13,0,1.17,1.1,0,0,51.46,0,0,1.86,0,0,0,0,0,5.04,0,0,0,0,0,0,0,0
