stage,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,mucous,neural,vasculature
  7-9,0,5.84,0,0,0,0,0,0,0,0,5.39,0
 24-34,0,0,0,0,0,4.25,0,0,0,0,0,0.92
 36-46,0,0,0,0,0,38.84,0,0,0,0,0,0
 48-58,0,0,0.69,0,0,47.03,0,0.93,0,0.59,1.03,0
 60-70,0,0,0,0,0,35.03,0,1.3,0,0,3.14,0
 72-82,0,0.56,0,1.25,0,24.04,0,14.19,1.14,0,0,0
 84-94,0,0,0,0,0,18.11,0,22.41,0,0,0,0
 96-106,0,15.28,0,0,0.63,7.43,0.89,173.76,1.32,0,11.7,0
108-118,0,0,0,0,0,27.11,0,29.23,0,0,5.51,0
120,1.22,0,0,0,0,54.28,0,116.5,0,0,14.68,0
