stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.26,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,11.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.71,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,10.52,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,65.83,3.96,0,0,244.95,0,0,0,0,0,0,15.8,0,0,0,0,0,0
 14-21,0,0,2.86,231.8,0,0,2.02,0,0,1.3,0,0,0,0,0,0,0,16.01,2.27,0,16.21,32.55,3.75,0,0,0,0,0,0,21.79,0,1.34,29.09,1.5,0,0,0,0,0
 24-34,0,0,0,174.5,0,0,0,0.69,0,0,0,10.9,0,0,0,0,0,181.96,7.52,0,63.47,31.79,1.89,0,0,0,0,0.6,0,0,0.71,0,6.19,8.39,0,0,0,0,0
 36-46,0,0,0,195.31,0,0,8.51,0.58,7.97,7.28,0,72.87,0,0,0,0,0,795.34,1.03,13.41,118.67,127.99,0,2.39,0,0,0,1.75,0,0,30.44,0,1.52,7.27,0,4.17,0,0,8.81
 48-58,0,0,0,87.95,0,0,16.54,6.39,19.67,2.63,0,45.33,0,0,0,0,0,846.14,0,15.71,114.01,191.6,0,1.18,0,0,13.52,9.2,0,0,27.75,0,0,2.98,0,4.46,6.47,0,0
 60-70,0,0,0,47.94,0,0,24.82,2.17,9.69,16.2,1.64,41.67,0,0,0,0,0,1254.6,1.27,60.62,62.87,210.57,0,0,0,0,18.41,3.43,0,0,22.58,0,0,7.66,0,52.78,2.77,8.01,0
 72-82,0,0,0,26.51,1.45,0,58.91,0,5.75,27.3,0.64,25.65,0,0,1.22,0,0,1249.57,0,124.52,106.98,201.92,0,0.67,0,0,20.68,3.1,0,0,25.12,0,0,11.85,0,71.52,3.37,50.71,0
 84-94,0,0,0,61.37,0,0,64.11,3.95,0.86,12.43,0.82,34.77,0.56,1.52,0.65,0,0,995.54,0,116.89,51.36,138.34,0,2.69,1.36,0,29.67,2.69,2.8,0,44.16,0,0,3.33,0,68.65,1.68,35.54,0
 96-106,0,0,0,34.52,3.82,0,30.72,0,5.91,17.82,0,29.95,3.21,0,0,0,15.8,993.14,0,112.02,43.71,135.5,2.3,0,6.82,0,55.12,1.19,0,0,24.57,0,0,3.29,0,111.63,6.48,75.75,0
108-118,0,0,0,35.3,5.15,9.51,18.2,4.48,8.73,25.94,3.04,14.92,1.42,1.38,0,0,0,962.31,0,130.14,57.96,148.73,0.44,2.66,0.85,0,34.32,0,0,0,14.33,0,0,4.87,0.55,68.15,7.25,69.56,0
120,0,0,0,10.71,0,0,10.2,2.08,0,66.37,0,30.39,0,2.09,0,1.69,0,1160.31,0,120.11,37,169.92,0,0,0,0,25.98,7.9,0,0,18.96,0,0,4.57,0,128.4,0,131.5,0
