stage,epidermis,erythrocytes,eye,glial,immune,iridophores,mesenchyme,mural_cell,neural,paraxial_mesoderm,pericytes,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,12.38,7.25,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0
 36-46,0,0,0,0,0,0,0,0,1.2,0,0,17.07,1.75,0
 48-58,2.96,0,1.03,0,0,0.39,0.89,0,1.41,0,0,0,2.14,0
 72-82,0,0,3.63,0,0,0,0,0,7.3,0,0,0,0,0
 84-94,0,0,2.61,0,0,1.05,0,0,3.96,0,0,0,0,0
 96-106,4.78,2.48,0,1.1,3.7,0,0,1.32,5.12,0,1.04,0,0,0
108-118,0,0,0,0,0.88,0,0,0,9.96,0,0,0,0,0.52
120,0,0,0,0,0,0,0,0,10.52,0,0,0,0,0
